date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20190414,0,SO2,3,3,1,3,3,3,3,3,,3,3,1,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3
20190414,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190414,0,NO2,18,29,25,18,33,16,39,23,,32,10,6,20,,20,32,13,6,13,8,8,23,2,4,3,5,11,30,11,7,27,32,33,63,27
20190414,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190414,0,O3,73,67,64,71,70,84,50,59,,59,96,94,108,,83,58,82,87,89,91,83,68,106,96,93,101,79,63,81,89,56,66,65,39,75
20190414,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190414,0,CO,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,,0.3,0.2,0.2,0.3,,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.2
20190414,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190414,1,SO2,3,3,1,1,3,3,3,3,,3,3,1,1,,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,4,3,1,3
20190414,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190414,1,NO2,10,21,22,23,24,12,13,20,,27,9,6,13,,17,16,15,5,11,8,8,7,2,3,4,5,14,30,10,5,24,17,31,51,22
20190414,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190414,1,O3,84,76,69,70,83,89,84,68,,65,94,93,118,,88,75,79,89,90,91,79,88,106,98,92,100,74,63,78,91,61,83,66,54,80
20190414,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190414,1,CO,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,,0.2,0.2,0.2,0.3,,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2
