date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20191119,0,PM2.5,24,22,30,30,19,22,25,9,,34,25,29,47,36,29,30,26,9,21,25,31,28,3,2,9,4,20,53,47,31,36,25,28,40,22
20191119,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191119,0,PM10,86,72,85,89,74,75,84,69,,114,110,135,136,89,92,106,148,64,86,119,113,129,43,41,52,47,120,105,117,117,84,75,91,112,80
20191119,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191119,0,AQI,68,61,68,70,62,63,67,60,,82,80,93,93,70,71,78,99,57,68,85,82,90,43,41,51,47,85,78,84,84,67,63,71,81,65
20191119,1,PM2.5,13,19,19,19,16,14,11,6,,21,23,27,39,30,30,22,36,12,24,21,31,9,6,4,8,7,26,49,40,40,19,17,19,30,13
20191119,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191119,1,PM10,65,57,65,58,67,63,43,49,,104,77,113,128,93,87,86,136,45,85,96,101,51,44,37,51,44,76,119,112,173,39,63,69,107,73
20191119,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191119,1,AQI,58,54,58,54,59,57,43,49,,77,64,82,89,72,69,68,93,45,68,73,76,51,44,37,51,44,63,85,81,112,39,57,60,79,62
20191119,2,PM2.5,11,1,7,12,8,10,6,4,,27,13,21,19,15,16,11,34,7,26,15,1,6,3,2,8,13,29,33,39,39,9,10,8,16,8
20191119,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191119,2,PM10,54,59,55,61,50,52,51,43,,97,65,72,79,71,49,62,126,37,85,51,25,33,40,40,38,44,115,87,106,172,44,49,43,80,61
20191119,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191119,2,AQI,52,55,53,56,50,51,51,43,,74,58,61,65,61,49,56,88,37,68,51,25,33,40,40,38,44,83,69,78,111,44,49,43,65,56
20191119,3,PM2.5,8,5,8,8,8,6,8,6,,25,7,18,14,8,8,7,26,6,21,8,8,7,3,2,7,18,32,27,31,40,14,7,7,12,2
20191119,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191119,3,PM10,38,51,44,42,34,40,41,37,,86,50,76,65,56,42,45,94,35,78,29,35,36,36,32,51,37,92,81,95,139,39,31,32,68,45
20191119,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191119,3,AQI,38,51,44,42,34,40,41,37,,68,50,63,58,53,42,45,72,35,64,29,35,36,36,32,51,37,71,66,73,95,39,31,32,59,45
20191119,4,PM2.5,8,2,6,3,3,8,7,3,,13,8,14,8,6,6,6,11,6,17,5,8,5,5,2,10,4,26,13,17,30,3,6,6,7,1
20191119,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191119,4,PM10,32,33,33,33,29,32,37,33,,48,38,60,46,41,26,54,40,28,60,36,30,36,22,34,51,33,77,48,69,121,26,25,28,38,32
20191119,4,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
