"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"10/05/2016","35","","Ramapo","34-031-5001","AQS"
"10/06/2016","47","","Ramapo","34-031-5001","AQS"
"10/07/2016","58","","MILLBROOK","36-027-0007","AQS"
"10/08/2016","31","","RIVERHEAD","36-103-0004","AQS"
"10/09/2016","31","","MT NINHAM","36-079-0005","AQS"
"10/10/2016","33","","Flemington","34-019-0001","AQS"
"10/11/2016","32","","MILLBROOK","36-027-0007","AQS"
"10/12/2016","34","","Flemington","34-019-0001","AQS"
"10/13/2016","31","","Colliers Mills","34-029-0006","AQS"
"10/14/2016","30","","Ramapo","34-031-5001","AQS"
"10/15/2016","39","","SUSAN WAGNER HS","36-085-0067","AQS"
"10/16/2016","40","","SUSAN WAGNER HS","36-085-0067","AQS"
"10/17/2016","45","","SUSAN WAGNER HS","36-085-0067","AQS"
"10/18/2016","47","","MILLBROOK","36-027-0007","AQS"
"10/19/2016","44","","Flemington","34-019-0001","AQS"
"10/20/2016","42","","Colliers Mills","34-029-0006","AQS"
"10/21/2016","31","","Flemington","34-019-0001","AQS"
"10/22/2016","25","","Colliers Mills","34-029-0006","AQS"
"10/23/2016","35","","Colliers Mills","34-029-0006","AQS"
"10/24/2016","37","","Colliers Mills","34-029-0006","AQS"
"10/25/2016","32","","RIVERHEAD","36-103-0004","AQS"
"10/26/2016","32","","Colliers Mills","34-029-0006","AQS"
"10/27/2016","34","","Colliers Mills","34-029-0006","AQS"
"10/28/2016","34","","Colliers Mills","34-029-0006","AQS"
"10/29/2016","36","","Colliers Mills","34-029-0006","AQS"
"10/30/2016","45","","Colliers Mills","34-029-0006","AQS"
"10/31/2016","28","","Colliers Mills","34-029-0006","AQS"
"11/01/2016","31","","SUSAN WAGNER HS","36-085-0067","AQS"
"11/02/2016","30","","Flemington","34-019-0001","AQS"
"11/03/2016","33","","Flemington","34-019-0001","AQS"
"11/04/2016","31","","Flemington","34-019-0001","AQS"
"11/05/2016","31","","Flemington","34-019-0001","AQS"
