"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"06/13/2014","38","","Miami Fire Station","12-086-1016","AQS"
"06/14/2014","59","","Miami Fire Station","12-086-1016","AQS"
"06/15/2014","40","","Miami Fire Station","12-086-1016","AQS"
"06/16/2014","39","","Miami Fire Station","12-086-1016","AQS"
"06/17/2014","33","","Miami Fire Station","12-086-1016","AQS"
"06/18/2014","59","","Miami Fire Station","12-086-1016","AQS"
"06/19/2014","53","","Miami Fire Station","12-086-1016","AQS"
"06/20/2014","55","","Miami Fire Station","12-086-1016","AQS"
"06/21/2014","47","","Miami Fire Station","12-086-1016","AQS"
"06/22/2014","50","","Vista View Park","12-011-0033","AQS"
"06/23/2014","63","","Belle Glade","12-099-0008","AQS"
"06/24/2014","67","","Belle Glade","12-099-0008","AQS"
"06/25/2014","55","","Miami Fire Station","12-086-1016","AQS"
"06/26/2014","55","","Miami Fire Station","12-086-1016","AQS"
"06/27/2014","57","","Miami Fire Station","12-086-1016","AQS"
"06/28/2014","53","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"06/29/2014","56","","Miami Fire Station","12-086-1016","AQS"
"06/30/2014","36","","Miami Fire Station","12-086-1016","AQS"
"07/01/2014","41","","Miami Fire Station","12-086-1016","AQS"
"07/02/2014","60","","Miami Fire Station","12-086-1016","AQS"
"07/03/2014","65","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"07/04/2014","98","","Pompano Highlands","12-011-2003","AQS"
