"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/24/2015","32","","Miami Fire Station","12-086-1016","AQS"
"07/25/2015","32","","Miami Fire Station","12-086-1016","AQS"
"07/26/2015","66","","DELRAY BEACH","12-099-2005","AQS"
"07/27/2015","58","","Miami Fire Station","12-086-1016","AQS"
"07/28/2015","62","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"07/29/2015","42","","Miami Fire Station","12-086-1016","AQS"
"07/30/2015","34","","Miami Fire Station","12-086-1016","AQS"
"07/31/2015","59","","Miami Fire Station","12-086-1016","AQS"
"08/01/2015","64","","Miami Fire Station","12-086-1016","AQS"
"08/02/2015","55","","Vista View Park","12-011-0033","AQS"
"08/03/2015","52","","Miami Fire Station","12-086-1016","AQS"
"08/04/2015","49","","Royal Palm Beach","12-099-0009","AQS"
"08/05/2015","57","","Miami Fire Station","12-086-1016","AQS"
"08/06/2015","59","","Miami Fire Station","12-086-1016","AQS"
"08/07/2015","57","","Royal Palm Beach","12-099-0009","AQS"
"08/08/2015","52","","Royal Palm Beach","12-099-0009","AQS"
"08/09/2015","47","","Miami Fire Station","12-086-1016","AQS"
"08/10/2015","44","","Miami Fire Station","12-086-1016","AQS"
"08/11/2015","45","","Miami Fire Station","12-086-1016","AQS"
"08/12/2015","52","","Miami Fire Station","12-086-1016","AQS"
"08/13/2015","46","","Miami Fire Station","12-086-1016","AQS"
"08/14/2015","32","","Royal Palm Beach","12-099-0009","AQS"
"08/15/2015","29","","Royal Palm Beach","12-099-0009","AQS"
"08/16/2015","27","","Royal Palm Beach","12-099-0009","AQS"
"08/17/2015","27","","Royal Palm Beach","12-099-0009","AQS"
"08/18/2015","29","","Royal Palm Beach","12-099-0009","AQS"
"08/19/2015","28","","Royal Palm Beach","12-099-0009","AQS"
"08/20/2015","38","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"08/21/2015","36","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"08/22/2015","44","","Royal Palm Beach","12-099-0009","AQS"
"08/23/2015","41","","Royal Palm Beach","12-099-0009","AQS"
"08/24/2015","42","","Royal Palm Beach","12-099-0009","AQS"
"08/25/2015","36","","Miami Fire Station","12-086-1016","AQS"
"08/26/2015","31","","Miami Fire Station","12-086-1016","AQS"
"08/27/2015","34","","Vista View Park","12-011-0033","AQS"
"08/28/2015","45","","Miami Fire Station","12-086-1016","AQS"
"08/29/2015","54","","Miami Fire Station","12-086-1016","AQS"
"08/30/2015","27","","Royal Palm Beach","12-099-0009","AQS"
"08/31/2015","38","","Miami Fire Station","12-086-1016","AQS"
"09/01/2015","43","","Miami Fire Station","12-086-1016","AQS"
"09/02/2015","38","","Vista View Park","12-011-0033","AQS"
"09/03/2015","39","","Miami Fire Station","12-086-1016","AQS"
"09/04/2015","41","","Miami Fire Station","12-086-1016","AQS"
"09/05/2015","41","","Miami Fire Station","12-086-1016","AQS"
"09/06/2015","35","","Miami Fire Station","12-086-1016","AQS"
"09/07/2015","38","","Miami Fire Station","12-086-1016","AQS"
"09/08/2015","37","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"09/09/2015","36","","Miami Fire Station","12-086-1016","AQS"
"09/10/2015","34","","Miami Fire Station","12-086-1016","AQS"
"09/11/2015","31","","Miami Fire Station","12-086-1016","AQS"
"09/12/2015","33","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"09/13/2015","51","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"09/14/2015","45","","Miami Fire Station","12-086-1016","AQS"
"09/15/2015","52","","Miami Fire Station","12-086-1016","AQS"
"09/16/2015","35","","Miami Fire Station","12-086-1016","AQS"
"09/17/2015","30","","Miami Fire Station","12-086-1016","AQS"
"09/18/2015","47","","Miami Fire Station","12-086-1016","AQS"
"09/19/2015","22","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"09/20/2015","27","","Miami Fire Station","12-086-1016","AQS"
"09/21/2015","38","","Miami Fire Station","12-086-1016","AQS"
"09/22/2015","33","","Miami Fire Station","12-086-1016","AQS"
"09/23/2015","33","","Miami Fire Station","12-086-1016","AQS"
"09/24/2015","30","","Miami Fire Station","12-086-1016","AQS"
"09/25/2015","30","","Miami Fire Station","12-086-1016","AQS"
"09/26/2015","30","","Miami Fire Station","12-086-1016","AQS"
"09/27/2015","25","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"09/28/2015","25","","Miami Fire Station","12-086-1016","AQS"
