Date,PM2.5 AQI Value,Site Name,Site ID,Source
12/14/2019,88,Los Angeles-north Main Street,06-037-1103,AQS
12/15/2019,42,Anaheim,06-059-0007,AQS
12/16/2019,35,Long Beach (south),06-037-4004,AQS
12/17/2019,33,Long Beach-route 710 Near Road,06-037-4008,AQS
12/18/2019,60,Long Beach-route 710 Near Road,06-037-4008,AQS
12/19/2019,76,Long Beach-route 710 Near Road,06-037-4008,AQS
12/20/2019,62,Long Beach-route 710 Near Road,06-037-4008,AQS
12/21/2019,73,Compton,06-037-1302,AQS
12/22/2019,59,Long Beach-route 710 Near Road,06-037-4008,AQS
12/23/2019,32,Reseda,06-037-1201,AQS
12/24/2019,59,Anaheim,06-059-0007,AQS
12/25/2019,61,Reseda,06-037-1201,AQS
12/26/2019,33,Compton,06-037-1302,AQS
12/27/2019,69,Long Beach-route 710 Near Road,06-037-4008,AQS
12/28/2019,65,Long Beach-route 710 Near Road,06-037-4008,AQS
12/29/2019,82,Reseda,06-037-1201,AQS
12/30/2019,59,Long Beach-route 710 Near Road,06-037-4008,AQS
12/31/2019,78,Long Beach-route 710 Near Road,06-037-4008,AQS
01/01/2020,102,Long Beach-route 710 Near Road,06-037-4008,AQS
01/02/2020,72,Compton,06-037-1302,AQS
01/03/2020,87,Long Beach-route 710 Near Road,06-037-4008,AQS
01/04/2020,104,Compton,06-037-1302,AQS
01/05/2020,103,Compton,06-037-1302,AQS
01/06/2020,72,Long Beach-route 710 Near Road,06-037-4008,AQS
01/07/2020,45,North Hollywood (noho),06-037-4010,AQS
01/08/2020,59,Long Beach-route 710 Near Road,06-037-4008,AQS
01/09/2020,49,Long Beach-route 710 Near Road,06-037-4008,AQS
01/10/2020,66,Compton,06-037-1302,AQS
01/11/2020,80,Compton,06-037-1302,AQS
01/12/2020,76,Compton,06-037-1302,AQS
01/13/2020,80,Long Beach-route 710 Near Road,06-037-4008,AQS
01/14/2020,85,Long Beach-route 710 Near Road,06-037-4008,AQS
01/15/2020,124,Long Beach-route 710 Near Road,06-037-4008,AQS
01/16/2020,91,Pico Rivera #2,06-037-1602,AQS
01/17/2020,40,North Hollywood (noho),06-037-4010,AQS
01/18/2020,62,Long Beach (south),06-037-4004,AQS
01/19/2020,58,Long Beach (south),06-037-4004,AQS
01/20/2020,69,Compton,06-037-1302,AQS
01/21/2020,48,Glendora,06-037-0016,AQS
01/22/2020,59,Long Beach-route 710 Near Road,06-037-4008,AQS
01/23/2020,59,Anaheim,06-059-0007,AQS
01/24/2020,68,Compton,06-037-1302,AQS
01/25/2020,99,Los Angeles-north Main Street,06-037-1103,AQS
01/26/2020,130,Los Angeles-north Main Street,06-037-1103,AQS
01/27/2020,81,Anaheim,06-059-0007,AQS
01/28/2020,57,Long Beach (south),06-037-4004,AQS
01/29/2020,45,Long Beach (south),06-037-4004,AQS
01/30/2020,59,Long Beach-route 710 Near Road,06-037-4008,AQS
01/31/2020,67,Long Beach-route 710 Near Road,06-037-4008,AQS
02/01/2020,59,Long Beach-route 710 Near Road,06-037-4008,AQS
02/02/2020,69,Long Beach-route 710 Near Road,06-037-4008,AQS
02/03/2020,26,Long Beach-route 710 Near Road,06-037-4008,AQS
02/04/2020,31,Los Angeles-north Main Street,06-037-1103,AQS
02/05/2020,51,Long Beach (south),06-037-4004,AQS
