Date,Ozone AQI Value,Site Name,Site ID,Source
07/14/2014,50,Leonia,34-003-0006,AQS
07/15/2014,42,Leonia,34-003-0006,AQS
07/16/2014,48,Queens College 2,36-081-0124,AQS
07/17/2014,47,Colliers Mills,34-029-0006,AQS
07/18/2014,54,Queens College 2,36-081-0124,AQS
07/19/2014,51,Chester,34-027-3001,AQS
07/20/2014,58,Chester,34-027-3001,AQS
07/21/2014,105,Susan Wagner Hs,36-085-0067,AQS
07/22/2014,93,Rutgers University,34-023-0011,AQS
07/23/2014,87,Leonia,34-003-0006,AQS
07/24/2014,41,Monmouth University,34-025-0005,AQS
07/25/2014,51,Bayonne,34-017-0006,AQS
07/26/2014,58,Leonia,34-003-0006,AQS
07/27/2014,54,Leonia,34-003-0006,AQS
07/28/2014,71,Riverhead,36-103-0004,AQS
07/29/2014,35,Riverhead,36-103-0004,AQS
07/30/2014,43,Monmouth University,34-025-0005,AQS
07/31/2014,77,Rutgers University,34-023-0011,AQS
08/01/2014,49,Millbrook,36-027-0007,AQS
08/02/2014,50,Leonia,34-003-0006,AQS
08/03/2014,51,Leonia,34-003-0006,AQS
08/04/2014,77,Colliers Mills,34-029-0006,AQS
08/05/2014,112,Newark Firehouse,34-013-0003,AQS
08/06/2014,48,Babylon,36-103-0002,AQS
08/07/2014,40,Riverhead,36-103-0004,AQS
08/08/2014,44,Monmouth University,34-025-0005,AQS
08/09/2014,58,Susan Wagner Hs,36-085-0067,AQS
08/10/2014,71,Rutgers University,34-023-0011,AQS
08/11/2014,54,Millbrook,36-027-0007,AQS
08/12/2014,34,Leonia,34-003-0006,AQS
08/13/2014,42,Colliers Mills,34-029-0006,AQS
08/14/2014,44,Flemington,34-019-0001,AQS
08/15/2014,38,Colliers Mills,34-029-0006,AQS
08/16/2014,97,Rutgers University,34-023-0011,AQS
08/17/2014,58,Riverhead,36-103-0004,AQS
08/18/2014,40,Rutgers University,34-023-0011,AQS
08/19/2014,80,Chester,34-027-3001,AQS
08/20/2014,97,Ramapo,34-031-5001,AQS
08/21/2014,64,Flemington,34-019-0001,AQS
08/22/2014,36,Leonia,34-003-0006,AQS
08/23/2014,28,Riverhead,36-103-0004,AQS
08/24/2014,36,Rutgers University,34-023-0011,AQS
08/25/2014,64,Susan Wagner Hs,36-085-0067,AQS
08/26/2014,84,Flemington,34-019-0001,AQS
08/27/2014,187,Susan Wagner Hs,36-085-0067,AQS
08/28/2014,40,Colliers Mills,34-029-0006,AQS
08/29/2014,44,Flemington,34-019-0001,AQS
08/30/2014,54,Millbrook,36-027-0007,AQS
08/31/2014,45,Leonia,34-003-0006,AQS
09/01/2014,48,Leonia,34-003-0006,AQS
09/02/2014,61,Queens College 2,36-081-0124,AQS
09/03/2014,54,Babylon,36-103-0002,AQS
09/04/2014,112,Chester,34-027-3001,AQS
09/05/2014,71,Millbrook,36-027-0007,AQS
09/06/2014,58,Leonia,34-003-0006,AQS
09/07/2014,39,Susan Wagner Hs,36-085-0067,AQS
09/08/2014,36,Ramapo,34-031-5001,AQS
09/09/2014,31,Chester,34-027-3001,AQS
09/10/2014,45,Flemington,34-019-0001,AQS
09/11/2014,42,Susan Wagner Hs,36-085-0067,AQS
09/12/2014,40,Rutgers University,34-023-0011,AQS
09/13/2014,27,Rutgers University,34-023-0011,AQS
09/14/2014,33,Susan Wagner Hs,36-085-0067,AQS
09/15/2014,39,Rutgers University,34-023-0011,AQS
09/16/2014,37,Flemington,34-019-0001,AQS
09/17/2014,45,Newark Firehouse,34-013-0003,AQS
09/18/2014,61,Monmouth University,34-025-0005,AQS
09/19/2014,35,Monmouth University,34-025-0005,AQS
09/20/2014,42,Rutgers University,34-023-0011,AQS
09/21/2014,35,Flemington,34-019-0001,AQS
09/22/2014,30,Riverhead,36-103-0004,AQS
09/23/2014,31,Rutgers University,34-023-0011,AQS
09/24/2014,32,Monmouth University,34-025-0005,AQS
09/25/2014,25,Monmouth University,34-025-0005,AQS
09/26/2014,42,Rutgers University,34-023-0011,AQS
09/27/2014,49,Rutgers University,34-023-0011,AQS
09/28/2014,80,Rutgers University,34-023-0011,AQS
09/29/2014,43,Flemington,34-019-0001,AQS
09/30/2014,37,Flemington,34-019-0001,AQS
10/01/2014,28,Flemington,34-019-0001,AQS
10/02/2014,24,Chester,34-027-3001,AQS
10/03/2014,32,Flemington,34-019-0001,AQS
10/04/2014,32,Monmouth University,34-025-0005,AQS
10/05/2014,27,Riverhead,36-103-0004,AQS
10/06/2014,40,Monmouth University,34-025-0005,AQS
10/07/2014,44,Monmouth University,34-025-0005,AQS
10/08/2014,43,Rutgers University,34-023-0011,AQS
10/09/2014,40,Flemington,34-019-0001,AQS
10/10/2014,33,Riverhead,36-103-0004,AQS
10/11/2014,28,Monmouth University,34-025-0005,AQS
10/12/2014,34,Babylon,36-103-0002,AQS
10/13/2014,36,Monmouth University,34-025-0005,AQS
10/14/2014,35,Monmouth University,34-025-0005,AQS
10/15/2014,33,Riverhead,36-103-0004,AQS
10/16/2014,38,Chester,34-027-3001,AQS
10/17/2014,37,Babylon,36-103-0002,AQS
10/18/2014,31,Monmouth University,34-025-0005,AQS
10/19/2014,32,Riverhead,36-103-0004,AQS
10/20/2014,34,Monmouth University,34-025-0005,AQS
10/21/2014,37,Monmouth University,34-025-0005,AQS
10/22/2014,33,Monmouth University,34-025-0005,AQS
10/23/2014,24,Riverhead,36-103-0004,AQS
10/24/2014,36,Chester,34-027-3001,AQS
10/25/2014,46,Chester,34-027-3001,AQS
10/26/2014,37,Riverhead,36-103-0004,AQS
10/27/2014,35,Chester,34-027-3001,AQS
10/28/2014,47,Riverhead,36-103-0004,AQS
10/29/2014,41,Riverhead,36-103-0004,AQS
10/30/2014,22,Riverhead,36-103-0004,AQS
10/31/2014,28,Riverhead,36-103-0004,AQS
11/01/2014,28,Riverhead,36-103-0004,AQS
11/02/2014,35,Riverhead,36-103-0004,AQS
11/03/2014,39,Millbrook,36-027-0007,AQS
11/04/2014,44,Riverhead,36-103-0004,AQS
11/05/2014,35,Millbrook,36-027-0007,AQS
11/06/2014,31,Monmouth University,34-025-0005,AQS
11/07/2014,27,Riverhead,36-103-0004,AQS
11/08/2014,33,Susan Wagner Hs,36-085-0067,AQS
11/09/2014,26,Rutgers University,34-023-0011,AQS
11/10/2014,29,Chester,34-027-3001,AQS
11/11/2014,37,Monmouth University,34-025-0005,AQS
11/12/2014,29,Riverhead,36-103-0004,AQS
11/13/2014,32,Millbrook,36-027-0007,AQS
11/14/2014,30,Mt Ninham,36-079-0005,AQS
11/15/2014,36,Millbrook,36-027-0007,AQS
11/16/2014,26,Bayonne,34-017-0006,AQS
11/17/2014,26,Flemington,34-019-0001,AQS
11/18/2014,31,Millbrook,36-027-0007,AQS
11/19/2014,31,Millbrook,36-027-0007,AQS
11/20/2014,34,Millbrook,36-027-0007,AQS
11/21/2014,32,Millbrook,36-027-0007,AQS
11/22/2014,29,Chester,34-027-3001,AQS
11/23/2014,32,Millbrook,36-027-0007,AQS
11/24/2014,34,Rutgers University,34-023-0011,AQS
11/25/2014,30,Millbrook,36-027-0007,AQS
11/26/2014,27,Millbrook,36-027-0007,AQS
11/27/2014,28,Chester,34-027-3001,AQS
11/28/2014,36,Chester,34-027-3001,AQS
11/29/2014,32,Millbrook,36-027-0007,AQS
11/30/2014,33,Holtsville,36-103-0009,AQS
12/01/2014,34,Millbrook,36-027-0007,AQS
12/02/2014,34,Millbrook,36-027-0007,AQS
12/03/2014,27,Mt Ninham,36-079-0005,AQS
12/04/2014,31,Millbrook,36-027-0007,AQS
12/05/2014,26,Babylon,36-103-0002,AQS
12/06/2014,23,Flemington,34-019-0001,AQS
12/07/2014,35,Millbrook,36-027-0007,AQS
12/08/2014,31,Chester,34-027-3001,AQS
12/09/2014,31,Chester,34-027-3001,AQS
12/10/2014,28,Mt Ninham,36-079-0005,AQS
12/11/2014,25,Chester,34-027-3001,AQS
12/12/2014,31,Chester,34-027-3001,AQS
12/13/2014,31,Chester,34-027-3001,AQS
12/14/2014,19,Chester,34-027-3001,AQS
12/15/2014,19,Millbrook,36-027-0007,AQS
12/16/2014,11,Flemington,34-019-0001,AQS
12/17/2014,21,Chester,34-027-3001,AQS
12/18/2014,22,Chester,34-027-3001,AQS
12/19/2014,29,Chester,34-027-3001,AQS
12/20/2014,28,Chester,34-027-3001,AQS
12/21/2014,24,Flemington,34-019-0001,AQS
