Date,Sulfur Dioxide AQI Value,Site Name,Site ID,Source
11/03/2011,34,Pfizer Lab Site,36-005-0133,AQS
11/04/2011,19,Pfizer Lab Site,36-005-0133,AQS
11/05/2011,44,Pfizer Lab Site,36-005-0133,AQS
11/06/2011,61,Pfizer Lab Site,36-005-0133,AQS
11/07/2011,23,Pfizer Lab Site,36-005-0133,AQS
11/08/2011,49,Pfizer Lab Site,36-005-0133,AQS
11/09/2011,21,Pfizer Lab Site,36-005-0133,AQS
11/10/2011,11,Jersey City,34-017-1002,AQS
11/11/2011,14,Bayonne,34-017-0006,AQS
11/12/2011,27,Bayonne,34-017-0006,AQS
11/13/2011,10,Jersey City,34-017-1002,AQS
11/14/2011,13,Newark Firehouse,34-013-0003,AQS
11/15/2011,13,Pfizer Lab Site,36-005-0133,AQS
11/16/2011,16,Newark Firehouse,34-013-0003,AQS
11/17/2011,26,Bayonne,34-017-0006,AQS
11/18/2011,31,Bayonne,34-017-0006,AQS
11/19/2011,20,Pfizer Lab Site,36-005-0133,AQS
11/20/2011,11,Pfizer Lab Site,36-005-0133,AQS
11/21/2011,9,Pfizer Lab Site,36-005-0133,AQS
11/22/2011,6,Elizabeth Lab,34-039-0004,AQS
11/23/2011,7,Queens College 2,36-081-0124,AQS
11/24/2011,14,Pfizer Lab Site,36-005-0133,AQS
11/25/2011,33,Pfizer Lab Site,36-005-0133,AQS
