Date,Sulfur Dioxide AQI Value,Site Name,Site ID,Source
11/19/2020,4,Pfizer Lab Site,36-005-0133,AQS
11/20/2020,3,Elizabeth Lab,34-039-0004,AQS
11/21/2020,4,Chester,34-027-3001,AQS
11/22/2020,1,Elizabeth Lab,34-039-0004,AQS
11/23/2020,0,Newark Firehouse,34-013-0003,AQS
11/24/2020,1,Elizabeth,34-039-0003,AQS
11/25/2020,3,Is 52,36-005-0110,AQS
11/26/2020,1,Newark Firehouse,34-013-0003,AQS
11/27/2020,3,Pfizer Lab Site,36-005-0133,AQS
11/28/2020,3,Pfizer Lab Site,36-005-0133,AQS
11/29/2020,3,Chester,34-027-3001,AQS
11/30/2020,3,Elizabeth Lab,34-039-0004,AQS
12/01/2020,1,Elizabeth Lab,34-039-0004,AQS
12/02/2020,1,Elizabeth Lab,34-039-0004,AQS
12/03/2020,3,Is 52,36-005-0110,AQS
12/04/2020,3,Is 52,36-005-0110,AQS
12/05/2020,1,Elizabeth Lab,34-039-0004,AQS
12/06/2020,1,Chester,34-027-3001,AQS
12/07/2020,1,Is 52,36-005-0110,AQS
12/08/2020,1,Elizabeth,34-039-0003,AQS
12/09/2020,3,Is 52,36-005-0110,AQS
12/10/2020,1,Bayonne,34-017-0006,AQS
12/11/2020,6,Pfizer Lab Site,36-005-0133,AQS
12/12/2020,19,Elizabeth,34-039-0003,AQS
12/13/2020,3,Elizabeth,34-039-0003,AQS
12/14/2020,1,Bayonne,34-017-0006,AQS
12/15/2020,1,Is 52,36-005-0110,AQS
12/16/2020,1,Chester,34-027-3001,AQS
12/17/2020,3,Is 52,36-005-0110,AQS
12/18/2020,3,Pfizer Lab Site,36-005-0133,AQS
12/19/2020,3,Is 52,36-005-0110,AQS
12/20/2020,3,Is 52,36-005-0110,AQS
12/21/2020,3,Chester,34-027-3001,AQS
12/22/2020,1,Bayonne,34-017-0006,AQS
12/23/2020,1,Elizabeth Lab,34-039-0004,AQS
12/24/2020,1,Elizabeth,34-039-0003,AQS
12/25/2020,1,Chester,34-027-3001,AQS
12/26/2020,1,Newark Firehouse,34-013-0003,AQS
12/27/2020,3,Bayonne,34-017-0006,AQS
12/28/2020,1,Chester,34-027-3001,AQS
12/29/2020,1,Pfizer Lab Site,36-005-0133,AQS
12/30/2020,3,Is 52,36-005-0110,AQS
12/31/2020,1,Elizabeth Lab,34-039-0004,AQS
01/01/2021,6,Eisenhower Park,36-059-0005,AQS
01/02/2021,1,Queens College 2,36-081-0124,AQS
01/03/2021,0,Is 52,36-005-0110,AQS
01/04/2021,1,Is 52,36-005-0110,AQS
01/05/2021,3,Is 52,36-005-0110,AQS
01/06/2021,3,Queens College 2,36-081-0124,AQS
01/07/2021,3,Queens College 2,36-081-0124,AQS
01/08/2021,4,Queens College 2,36-081-0124,AQS
01/09/2021,1,Is 52,36-005-0110,AQS
01/10/2021,3,Pfizer Lab Site,36-005-0133,AQS
01/11/2021,7,Queens College 2,36-081-0124,AQS
01/12/2021,4,Is 52,36-005-0110,AQS
01/13/2021,3,Is 52,36-005-0110,AQS
01/14/2021,7,Queens College 2,36-081-0124,AQS
01/15/2021,1,Pfizer Lab Site,36-005-0133,AQS
01/16/2021,0,Is 52,36-005-0110,AQS
01/17/2021,0,Is 52,36-005-0110,AQS
