Date,AQI Value,Main Pollutant,Site Name,Site ID,Source
02/05/2015,84,PM2.5,Ps 19,36-061-0128,AQS
02/06/2015,59,PM2.5,Queens College 2,36-081-0124,AQS
02/07/2015,74,PM2.5,Morrisania,36-005-0080,AQS
02/08/2015,96,PM2.5,Elizabeth Lab,34-039-0004,AQS
02/09/2015,61,PM2.5,Ps 19,36-061-0128,AQS
02/10/2015,51,PM2.5,Intermediate School 143,36-061-0115,AQS
02/11/2015,58,PM2.5,Ps 19,36-061-0128,AQS
02/12/2015,63,PM2.5,Morrisania,36-005-0080,AQS
02/13/2015,58,PM2.5,Intermediate School 143,36-061-0115,AQS
02/14/2015,74,PM2.5,Paterson,34-031-0005,AQS
02/15/2015,60,PM2.5,Intermediate School 143,36-061-0115,AQS
02/16/2015,51,PM2.5,Morrisania,36-005-0080,AQS
02/17/2015,78,PM2.5,Ps 19,36-061-0128,AQS
02/18/2015,80,PM2.5,Morrisania,36-005-0080,AQS
02/19/2015,58,PM2.5,Morrisania,36-005-0080,AQS
02/20/2015,65,NO2,Fort Lee Near Road,34-003-0010,AQS
02/21/2015,60,PM2.5,Intermediate School 143,36-061-0115,AQS
02/22/2015,77,PM2.5,Queens College 2,36-081-0124,AQS
02/23/2015,62,PM2.5,Fort Lee Library,34-003-0003,AQS
02/24/2015,52,PM2.5,Fort Lee Near Road,34-003-0010,AQS
02/25/2015,111,NO2,Fort Lee Near Road,34-003-0010,AQS
02/26/2015,66,PM2.5,Ps 19,36-061-0128,AQS
02/27/2015,60,PM2.5,Freshkills West,36-085-0111,AQS
02/28/2015,53,PM2.5,Morrisania,36-005-0080,AQS
03/01/2015,68,PM2.5,Newburgh,36-071-0002,AQS
03/02/2015,88,PM2.5,Toms River,34-029-2002,AQS
03/03/2015,53,PM2.5,Fort Lee Near Road,34-003-0010,AQS
03/04/2015,86,PM2.5,Fort Lee Library,34-003-0003,AQS
03/05/2015,53,PM2.5,Intermediate School 143,36-061-0115,AQS
03/06/2015,55,NO2,Fort Lee Near Road,34-003-0010,AQS
