"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/17/2017","AQS","340130003","1","14","ug/m3 SC","13","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"03/20/2017","AQS","340130003","1","10","ug/m3 SC","9","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"03/23/2017","AQS","340130003","1","8","ug/m3 SC","7","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"03/26/2017","AQS","340130003","1","13","ug/m3 SC","12","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"03/29/2017","AQS","340130003","1","4","ug/m3 SC","4","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"04/01/2017","AQS","340130003","1","2","ug/m3 SC","2","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"04/04/2017","AQS","340130003","1","13","ug/m3 SC","12","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"04/07/2017","AQS","340130003","1","3","ug/m3 SC","3","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"04/10/2017","AQS","340130003","1","17","ug/m3 SC","16","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"04/13/2017","AQS","340130003","1","5","ug/m3 SC","5","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"04/16/2017","AQS","340130003","1","15","ug/m3 SC","14","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"04/19/2017","AQS","340130003","1","20","ug/m3 SC","19","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"04/22/2017","AQS","340130003","1","6","ug/m3 SC","6","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"04/25/2017","AQS","340130003","1","5","ug/m3 SC","5","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"04/28/2017","AQS","340130003","1","22","ug/m3 SC","20","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"05/01/2017","AQS","340130003","1","26","ug/m3 SC","24","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"05/04/2017","AQS","340130003","1","14","ug/m3 SC","13","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"05/07/2017","AQS","340130003","1","4","ug/m3 SC","4","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"05/10/2017","AQS","340130003","1","18","ug/m3 SC","17","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"05/13/2017","AQS","340130003","1","5","ug/m3 SC","5","Newark Firehouse","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
