date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20181102,0,SO2,12,3,8,4,9,5,3,1,,10,8,4,7,3,7,10,4,2,3,3,2,1,1,2,5,1,7,4,4,2,6,6,7,10,20
20181102,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,0,NO2,111,99,148,121,136,128,100,70,,129,74,113,125,140,113,147,82,38,91,50,28,53,55,35,115,26,36,78,127,72,164,122,149,145,162
20181102,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,0,O3,4,13,2,2,4,2,1,2,,1,34,2,1,2,6,2,3,31,11,15,22,1,8,35,3,34,57,2,2,5,4,2,1,2,2
20181102,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,0,CO,1.5,1.9,1.3,1.3,1.7,1.7,1.7,1.3,,1.5,0.9,1.5,1.4,1.3,1.9,1.5,1,0.7,1,0.6,0.3,1,0.7,0.6,0.7,0.3,0.8,1.4,1.5,1,1.8,1.9,1.9,1.5,2.4
20181102,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,1,SO2,20,14,13,14,7,4,11,5,,17,8,11,12,10,13,19,8,8,2,2,44,13,,6,16,,16,3,14,8,14,5,18,10,25
20181102,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,1,NO2,112,101,142,118,142,118,91,55,,129,47,113,106,141,114,148,84,69,96,42,30,64,53,45,114,38,48,76,127,67,160,103,147,134,170
20181102,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,1,O3,9,24,1,9,3,12,,5,,11,64,9,5,1,13,12,9,8,5,27,23,11,29,30,19,43,40,6,12,10,14,6,9,6,6
20181102,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,2,SO2,23,3,3,8,13,15,7,,,19,15,7,12,1,3,17,3,5,6,,16,13,11,14,11,,18,7,9,,16,14,21,15,26
20181102,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,2,NO2,99,98,133,116,130,118,96,61,,112,92,100,101,125,104,132,76,59,76,49,39,61,51,40,96,38,48,83,108,62,147,88,118,132,161
20181102,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,2,O3,6,13,6,9,3,9,11,11,,,22,12,9,12,11,1,6,21,17,19,16,6,7,30,22,31,40,9,12,10,14,9,,1,12
20181102,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,2,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,3,SO2,8,7,15,14,4,12,10,7,,17,12,8,9,2,12,10,8,10,9,,6,10,5,1,13,5,11,13,,7,13,2,13,21,26
20181102,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,3,NO2,109,84,115,110,114,116,93,77,,97,108,98,106,124,97,131,75,73,75,40,24,57,51,45,105,40,49,106,94,61,150,109,107,132,155
20181102,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,3,O3,9,13,9,12,13,9,6,11,,11,11,9,8,9,6,9,,11,24,20,24,9,12,40,20,30,45,1,6,12,14,6,1,6,1
20181102,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,3,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,4,SO2,13,13,13,7,9,10,2,7,,16,,8,9,13,14,9,3,8,12,8,1,2,,9,13,7,6,2,6,5,18,14,19,9,19
20181102,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,4,NO2,115,80,126,103,106,121,84,63,,103,,90,104,126,102,123,66,96,75,50,29,53,53,50,122,32,44,101,90,51,154,100,110,127,152
20181102,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,4,O3,9,13,11,1,,9,,11,,6,,12,,12,12,9,1,12,17,,,1,26,36,11,34,40,1,8,12,,,,12,6
20181102,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,4,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181102,5,SO2,15,11,12,11,14,9,13,10,,4,8,11,4,6,12,12,3,14,12,5,12,10,9,,9,8,14,14,10,,19,15,17,18,18
