date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20181206,0,PM2.5,54,59,41,46,58,48,50,57,,58,53,53,59,52,20,60,63,21,51,61,43,63,67,25,51,46,70,76,81,87,44,58,54,52,45
20181206,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181206,0,PM10,128,130,116,115,148,124,124,201,,149,123,103,166,117,42,197,127,91,123,95,91,113,135,124,123,113,102,136,148,159,87,92,100,131,133
20181206,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181206,0,AQI,89,90,83,83,99,87,87,126,,100,87,77,108,84,42,124,89,71,87,83,71,85,93,87,87,82,94,101,108,115,69,79,75,91,92
20181206,1,PM2.5,39,28,37,40,39,39,50,56,,42,39,58,46,56,35,59,60,7,37,58,46,44,56,7,42,38,62,80,84,90,47,51,41,38,35
20181206,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181206,1,PM10,108,117,99,96,122,104,126,213,,117,109,97,130,125,98,170,118,68,110,92,95,87,115,51,121,93,113,137,143,161,69,81,89,128,125
20181206,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181206,1,AQI,79,84,75,73,86,77,88,132,,84,80,79,90,88,74,110,84,59,80,79,73,69,83,51,86,72,84,106,111,119,65,70,70,89,88
20181206,2,PM2.5,20,14,26,24,14,19,35,20,,37,12,46,19,38,14,53,50,10,11,50,46,23,8,2,12,21,60,79,85,82,27,34,32,28,9
20181206,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181206,2,PM10,78,92,96,97,95,66,119,119,,110,70,89,80,112,68,159,117,55,65,88,82,62,46,43,74,52,120,118,133,150,53,60,75,96,97
20181206,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181206,2,AQI,64,71,73,74,73,58,85,85,,80,60,70,65,81,59,105,84,53,58,69,66,56,46,43,62,51,85,105,113,109,52,55,63,73,74
20181206,3,PM2.5,11,3,4,14,5,5,12,3,,13,6,13,8,17,1,39,33,5,8,28,32,10,12,2,23,14,45,71,54,81,10,13,13,13,5
20181206,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181206,3,PM10,61,59,73,61,74,59,87,64,,84,49,60,39,92,37,130,96,50,84,39,42,33,28,35,73,41,107,150,121,166,27,30,29,82,80
