date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20181222,0,SO2,14,7,13,13,14,15,12,2,,11,7,8,10,11,11,18,11,11,8,1,5,3,19,5,14,3,16,16,23,4,12,12,11,,24
20181222,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,0,NO2,92,117,95,105,99,98,89,63,,104,74,65,113,103,105,114,94,54,50,37,19,51,44,33,45,17,83,106,93,63,122,97,104,,107
20181222,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,0,O3,1,6,1,4,2,5,3,1,,1,4,2,2,1,1,2,13,12,14,16,25,2,15,21,22,43,2,2,2,2,17,1,3,,2
20181222,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,0,CO,1.3,2,1.4,1.7,1.7,1.5,1.5,1.2,,1.8,1.2,1.4,2.4,1.6,1.6,1.6,1.5,0.9,1,1.1,0.8,0.8,0.9,0.6,0.6,0.6,1.1,2.1,2.2,1.8,1.7,1.5,1.5,,1.5
20181222,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,1,SO2,14,6,13,11,14,14,11,2,,10,7,7,10,10,11,20,11,12,6,1,4,3,19,8,17,3,17,14,23,2,11,9,10,18,25
20181222,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,1,NO2,92,113,97,104,98,101,84,55,,98,56,56,107,104,108,115,91,76,45,33,15,48,50,26,52,19,83,101,90,55,128,95,99,110,110
20181222,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,1,O3,1,5,1,4,2,5,2,1,,1,13,3,2,1,1,2,13,3,18,18,22,2,5,24,15,39,2,2,2,2,13,1,3,2,2
20181222,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,1,CO,1.4,2,1.4,1.8,1.6,1.6,1.4,0.8,,1.7,1,1.1,2.2,1.6,1.6,1.6,1.6,1.3,0.8,1,0.6,0.7,1.5,0.7,0.7,0.5,1.1,2.1,2,1.5,1.8,1.6,1.4,1.8,1.5
20181222,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,2,SO2,12,5,10,11,11,14,,2,,8,6,6,9,7,11,19,11,12,6,2,4,1,27,7,14,2,17,19,16,1,9,6,10,15,29
20181222,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,2,NO2,91,100,87,99,105,103,,54,,84,65,51,98,103,108,118,78,55,38,36,18,45,48,33,46,23,84,104,87,52,133,85,93,111,121
20181222,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,2,O3,1,5,2,4,2,5,,2,,1,4,5,2,2,1,2,12,7,22,14,15,1,4,9,19,33,2,2,2,2,12,1,3,2,2
20181222,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,2,CO,1.4,2,1.2,1.7,1.5,1.6,,0.6,,1.8,0.9,0.8,2,1.6,1.6,1.7,1.6,0.9,0.8,0.9,0.7,0.8,2,0.8,0.6,0.6,1.1,2.2,2,1.6,1.8,1.5,1.4,1.6,1.7
20181222,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,3,SO2,12,5,9,10,10,13,6,2,,8,6,5,9,7,11,19,9,12,5,1,4,1,24,6,15,1,17,23,16,1,9,7,10,17,32
20181222,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,3,NO2,92,103,83,94,99,102,69,58,,83,55,50,100,102,103,121,72,37,41,43,11,47,47,30,48,21,85,99,84,50,127,87,92,106,124
20181222,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,3,O3,1,5,2,3,2,5,2,1,,1,8,3,2,2,2,2,10,20,18,11,24,1,8,15,18,34,2,2,2,2,14,1,2,2,2
20181222,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,3,CO,1.4,1.9,1.1,1.6,1.5,1.6,1.6,0.8,,1.3,0.9,0.9,2,1.7,1.6,1.8,1.5,0.7,0.8,1,0.6,0.9,1.4,0.5,0.8,0.5,0.9,2,1.8,1.6,1.7,1.3,1.3,1.5,1.6
20181222,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,4,SO2,9,5,8,10,11,11,6,2,,9,7,5,8,7,11,19,8,13,5,2,4,2,27,7,15,2,15,20,15,2,9,6,11,15,31
20181222,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,4,NO2,89,99,80,90,105,99,68,57,,84,30,49,102,104,102,119,66,46,34,50,26,46,46,29,47,26,80,96,85,54,126,81,88,101,124
20181222,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,4,O3,1,5,1,2,,2,3,1,,1,28,4,,1,2,2,9,13,25,,,1,3,23,20,20,2,1,2,2,,,,2,2
20181222,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,4,CO,1.6,2,1,1.5,1.5,1.6,1.8,1,,1.3,0.8,0.8,2,1.7,1.7,1.8,1.3,0.7,0.7,1,0.6,0.8,2.2,0.3,0.8,0.6,1,2,1.9,1.6,1.7,1.4,1.6,1.5,1.7
20181222,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,5,SO2,9,5,8,10,13,12,7,1,,8,6,5,7,6,11,17,7,12,5,1,3,1,25,9,15,,6,15,21,3,9,6,13,,29
20181222,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,5,NO2,88,90,80,85,90,98,67,54,,75,39,52,76,100,98,115,56,44,27,52,42,44,41,26,47,,80,99,85,52,115,72,88,,115
20181222,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,5,O3,1,5,1,2,2,1,2,1,,1,19,2,2,1,2,2,6,15,33,5,6,1,2,35,16,,2,1,2,2,13,2,2,,2
20181222,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20181222,5,CO,1.4,1.8,1,1.4,1.4,1.7,1.5,1.2,,1.2,0.7,0.8,1.8,1.6,1.7,1.8,1,0.6,0.6,1.1,0.7,1,2.1,0.5,0.8,,1,2.2,2,1.5,1.6,1.7,1.8,,1.7
