date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210127,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,5,NO2,36,50,35,37,57,59,61,38,36,14,16,20,23,15,9,20,39,10,7,28,8,18,39,19,18,59,54,82,73,74,57,10,20,28,11
20210127,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,5,O3,22,9,26,25,8,1,4,16,28,45,39,46,34,14,42,32,11,40,40,21,52,31,2,39,34,1,2,1,1,2,2,43,41,45,56
20210127,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,5,CO,0.5,0.6,0.9,0.4,0.5,0.6,0.5,0.4,0.5,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.8,0.3,0.3,0.5,0.3,0.4,0.6,0.3,0.3,0.6,0.7,1.2,1,2.4,1.5,0.4,0.5,0.1,0.7
20210127,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,6,SO2,2,3,2,1,3,1,2,3,2,1,3,1,3,3,1,3,2,3,3,3,1,3,3,3,3,1,1,3,3,2,1,1,1,3,3
20210127,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,6,NO2,27,41,29,39,53,53,63,51,43,11,13,50,28,17,12,29,42,7,5,25,8,30,30,20,15,58,51,71,64,68,57,10,20,26,11
20210127,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,6,O3,33,11,32,23,11,3,1,2,19,49,41,14,28,8,40,14,4,41,40,26,51,21,8,38,36,2,2,1,1,2,1,43,42,48,54
20210127,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,6,CO,0.4,0.5,0.7,0.4,0.4,0.6,0.5,0.4,0.6,0.3,0.3,0.6,0.4,0.4,0.4,0.5,0.8,0.3,0.3,0.4,0.3,0.4,0.6,0.3,0.4,0.6,0.6,0.8,0.8,2,1.5,0.4,0.5,0.1,0.7
20210127,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,7,SO2,1,3,2,1,4,1,2,3,1,1,3,2,3,3,1,1,3,3,3,3,1,3,3,3,3,2,1,3,3,2,1,1,1,3,3
20210127,7,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,7,NO2,26,37,37,36,40,41,66,56,49,16,21,63,20,24,21,44,40,24,9,36,8,44,22,16,11,63,55,66,61,65,56,11,21,38,13
20210127,7,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
