"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2021","AirNow","340130003","1","0.015","ppm","14","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/04/2021","AirNow","340130003","1","0.021","ppm","19","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/05/2021","AirNow","340130003","1","0.022","ppm","20","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/06/2021","AirNow","340130003","1","0.03","ppm","28","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/07/2021","AirNow","340130003","1","0.03","ppm","28","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/08/2021","AirNow","340130003","1","0.021","ppm","19","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/09/2021","AirNow","340130003","1","0.031","ppm","29","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/10/2021","AirNow","340130003","1","0.03","ppm","28","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/11/2021","AirNow","340130003","1","0.011","ppm","10","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/12/2021","AirNow","340130003","1","0.023","ppm","21","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/13/2021","AirNow","340130003","1","0.018","ppm","17","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/14/2021","AirNow","340130003","1","0.015","ppm","14","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/15/2021","AirNow","340130003","1","0.022","ppm","20","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/16/2021","AirNow","340130003","1","0.023","ppm","21","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/17/2021","AirNow","340130003","1","0.024","ppm","22","Newark Firehouse","24","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
