"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/19/2012","43","Ozone","Royal Palm Beach","12-099-0009","AQS"
"04/20/2012","40","Ozone","Royal Palm Beach","12-099-0009","AQS"
"04/21/2012","40","Ozone","Rosenstiel","12-086-0027","AQS"
"04/22/2012","64","Ozone","Royal Palm Beach","12-099-0009","AQS"
"04/23/2012","64","Ozone","Royal Palm Beach","12-099-0009","AQS"
"04/24/2012","67","Ozone","AG Holley","12-099-0020","AQS"
"04/25/2012","105","Ozone","Royal Palm Beach","12-099-0009","AQS"
"04/26/2012","71","Ozone","Royal Palm Beach","12-099-0009","AQS"
"04/27/2012","52","PM2.5","Miami Fire Station","12-086-1016","AQS"
"04/28/2012","34","PM2.5","Miami Fire Station","12-086-1016","AQS"
"04/29/2012","33","Ozone","AG Holley","12-099-0020","AQS"
"04/30/2012","31","Ozone","Rosenstiel","12-086-0027","AQS"
"05/01/2012","42","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/02/2012","41","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/03/2012","34","PM2.5","Pompano Highlands","12-011-2003","AQS"
"05/04/2012","35","Ozone","Royal Palm Beach","12-099-0009","AQS"
"05/05/2012","43","PM2.5","Belle Glade","12-099-0008","AQS"
"05/06/2012","59","PM2.5","Belle Glade","12-099-0008","AQS"
"05/07/2012","50","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/08/2012","53","PM2.5","Belle Glade","12-099-0008","AQS"
"05/09/2012","53","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/10/2012","51","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/11/2012","51","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/12/2012","49","Ozone","Royal Palm Beach","12-099-0009","AQS"
"05/13/2012","46","Ozone","AG Holley","12-099-0020","AQS"
"05/14/2012","47","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/15/2012","51","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/16/2012","58","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/17/2012","52","PM2.5","Vista View Park","12-011-0033","AQS"
"05/18/2012","62","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/19/2012","56","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/20/2012","42","PM2.5","Belle Glade","12-099-0008","AQS"
"05/21/2012","48","Ozone","Royal Palm Beach","12-099-0009","AQS"
"05/22/2012","31","Ozone","Royal Palm Beach","12-099-0009","AQS"
"05/23/2012","31","Ozone","Rosenstiel","12-086-0027","AQS"
"05/24/2012","31","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/25/2012","38","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/26/2012","33","Ozone","Rosenstiel","12-086-0027","AQS"
"05/27/2012","44","Ozone","AG Holley","12-099-0020","AQS"
"05/28/2012","33","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/29/2012","34","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
