"Date","Sulfur Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2011","7","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/02/2011","1","","LAX Hastings","06-037-5005","AQS"
"01/03/2011","0","","Burbank","06-037-1002","AQS"
"01/04/2011","1","","Burbank","06-037-1002","AQS"
"01/05/2011","9","","Costa Mesa","06-059-1003","AQS"
"01/06/2011","10","","Costa Mesa","06-059-1003","AQS"
"01/07/2011","3","","LAX Hastings","06-037-5005","AQS"
"01/08/2011","6","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/09/2011","4","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/10/2011","3","","Long Beach (Hudson)","06-037-4006","AQS"
"01/11/2011","1","","Burbank","06-037-1002","AQS"
"01/12/2011","4","","Long Beach (North)","06-037-4002","AQS"
"01/13/2011","6","","Long Beach (Hudson)","06-037-4006","AQS"
"01/14/2011","16","","LAX Hastings","06-037-5005","AQS"
"01/15/2011","7","","Long Beach (North)","06-037-4002","AQS"
"01/16/2011","26","","Long Beach (Hudson)","06-037-4006","AQS"
"01/17/2011","17","","Long Beach (Hudson)","06-037-4006","AQS"
"01/18/2011","4","","Long Beach (Hudson)","06-037-4006","AQS"
"01/19/2011","4","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/20/2011","7","","Long Beach (Hudson)","06-037-4006","AQS"
"01/21/2011","4","","Long Beach (Hudson)","06-037-4006","AQS"
"01/22/2011","4","","LAX Hastings","06-037-5005","AQS"
"01/23/2011","6","","LAX Hastings","06-037-5005","AQS"
"01/24/2011","11","","Long Beach (North)","06-037-4002","AQS"
"01/25/2011","13","","Long Beach (Hudson)","06-037-4006","AQS"
"01/26/2011","4","","Burbank","06-037-1002","AQS"
"01/27/2011","9","","LAX Hastings","06-037-5005","AQS"
"01/28/2011","9","","Long Beach (Hudson)","06-037-4006","AQS"
"01/29/2011","9","","LAX Hastings","06-037-5005","AQS"
"01/30/2011","0","","Burbank","06-037-1002","AQS"
"01/31/2011","13","","Burbank","06-037-1002","AQS"
"02/01/2011","10","","Burbank","06-037-1002","AQS"
"02/02/2011","17","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/03/2011","13","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/04/2011","11","","Long Beach (Hudson)","06-037-4006","AQS"
"02/05/2011","14","","Long Beach (Hudson)","06-037-4006","AQS"
"02/06/2011","17","","Long Beach (Hudson)","06-037-4006","AQS"
"02/07/2011","10","","Long Beach (Hudson)","06-037-4006","AQS"
"02/08/2011","3","","Long Beach (Hudson)","06-037-4006","AQS"
"02/09/2011","3","","Long Beach (Hudson)","06-037-4006","AQS"
"02/10/2011","20","","Long Beach (Hudson)","06-037-4006","AQS"
"02/11/2011","19","","Long Beach (Hudson)","06-037-4006","AQS"
"02/12/2011","4","","Long Beach (Hudson)","06-037-4006","AQS"
