"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/01/2012","51","","Jersey City Firehouse","34-017-1003","AQS"
"08/07/2012","67","","Jersey City Firehouse","34-017-1003","AQS"
"08/12/2012","21","","Jersey City Firehouse","34-017-1003","AQS"
"08/19/2012","23","","Jersey City Firehouse","34-017-1003","AQS"
"08/25/2012","42","","Jersey City Firehouse","34-017-1003","AQS"
"08/31/2012","41","","Jersey City Firehouse","34-017-1003","AQS"
"09/06/2012","26","","Jersey City Firehouse","34-017-1003","AQS"
"09/12/2012","36","","Jersey City Firehouse","34-017-1003","AQS"
"09/18/2012","19","","Jersey City Firehouse","34-017-1003","AQS"
"09/24/2012","15","","Jersey City Firehouse","34-017-1003","AQS"
"09/30/2012","19","","Jersey City Firehouse","34-017-1003","AQS"
"10/06/2012","23","","Jersey City Firehouse","34-017-1003","AQS"
"10/18/2012","16","","Jersey City Firehouse","34-017-1003","AQS"
"10/24/2012","36","","Jersey City Firehouse","34-017-1003","AQS"
"11/11/2012","25","","Jersey City Firehouse","34-017-1003","AQS"
"11/17/2012","22","","Jersey City Firehouse","34-017-1003","AQS"
"11/23/2012","30","","Jersey City Firehouse","34-017-1003","AQS"
"11/29/2012","32","","Jersey City Firehouse","34-017-1003","AQS"
"12/05/2012","15","","Jersey City Firehouse","34-017-1003","AQS"
"12/11/2012","12","","Jersey City Firehouse","34-017-1003","AQS"
"12/17/2012","12","","Jersey City Firehouse","34-017-1003","AQS"
"12/23/2012","12","","Jersey City Firehouse","34-017-1003","AQS"
"12/29/2012","16","","Jersey City Firehouse","34-017-1003","AQS"
"01/04/2013","20","","Jersey City Firehouse","34-017-1003","AQS"
"01/10/2013","19","","Jersey City Firehouse","34-017-1003","AQS"
"01/16/2013","14","","Jersey City Firehouse","34-017-1003","AQS"
"01/22/2013","22","","Jersey City Firehouse","34-017-1003","AQS"
"01/28/2013","39","","Jersey City Firehouse","34-017-1003","AQS"
"02/03/2013","25","","Jersey City Firehouse","34-017-1003","AQS"
"02/09/2013","6","","Jersey City Firehouse","34-017-1003","AQS"
"02/15/2013","36","","Jersey City Firehouse","34-017-1003","AQS"
"02/21/2013","15","","Jersey City Firehouse","34-017-1003","AQS"
"02/27/2013","8","","Jersey City Firehouse","34-017-1003","AQS"
"03/05/2013","13","","Jersey City Firehouse","34-017-1003","AQS"
"03/11/2013","20","","Jersey City Firehouse","34-017-1003","AQS"
"03/17/2013","8","","Jersey City Firehouse","34-017-1003","AQS"
"03/23/2013","11","","Jersey City Firehouse","34-017-1003","AQS"
"03/29/2013","14","","Jersey City Firehouse","34-017-1003","AQS"
"04/04/2013","20","","Jersey City Firehouse","34-017-1003","AQS"
"04/10/2013","40","","Jersey City Firehouse","34-017-1003","AQS"
"04/16/2013","15","","Jersey City Firehouse","34-017-1003","AQS"
"04/22/2013","16","","Jersey City Firehouse","34-017-1003","AQS"
"04/28/2013","28","","Jersey City Firehouse","34-017-1003","AQS"
"05/04/2013","30","","Jersey City Firehouse","34-017-1003","AQS"
"05/10/2013","25","","Jersey City Firehouse","34-017-1003","AQS"
"05/16/2013","49","","Jersey City Firehouse","34-017-1003","AQS"
"05/22/2013","40","","Jersey City Firehouse","34-017-1003","AQS"
"05/28/2013","30","","Jersey City Firehouse","34-017-1003","AQS"
"06/03/2013","17","","Jersey City Firehouse","34-017-1003","AQS"
"06/09/2013","20","","Jersey City Firehouse","34-017-1003","AQS"
"06/15/2013","22","","Jersey City Firehouse","34-017-1003","AQS"
"06/21/2013","23","","Jersey City Firehouse","34-017-1003","AQS"
"06/27/2013","25","","Jersey City Firehouse","34-017-1003","AQS"
"07/09/2013","25","","Jersey City Firehouse","34-017-1003","AQS"
"07/15/2013","19","","Jersey City Firehouse","34-017-1003","AQS"
"07/21/2013","15","","Jersey City Firehouse","34-017-1003","AQS"
"07/27/2013","25","","Jersey City Firehouse","34-017-1003","AQS"
"08/02/2013","15","","Jersey City Firehouse","34-017-1003","AQS"
"08/08/2013","13","","Jersey City Firehouse","34-017-1003","AQS"
"08/14/2013","7","","Jersey City Firehouse","34-017-1003","AQS"
"08/20/2013","23","","Jersey City Firehouse","34-017-1003","AQS"
"08/26/2013","22","","Jersey City Firehouse","34-017-1003","AQS"
"09/01/2013","16","","Jersey City Firehouse","34-017-1003","AQS"
"09/07/2013","16","","Jersey City Firehouse","34-017-1003","AQS"
"09/13/2013","8","","Jersey City Firehouse","34-017-1003","AQS"
"09/15/2013","6","","Jersey City Firehouse","34-017-1003","AQS"
"09/19/2013","23","","Jersey City Firehouse","34-017-1003","AQS"
"09/25/2013","11","","Jersey City Firehouse","34-017-1003","AQS"
"10/01/2013","24","","Jersey City Firehouse","34-017-1003","AQS"
"10/07/2013","13","","Jersey City Firehouse","34-017-1003","AQS"
"10/13/2013","16","","Jersey City Firehouse","34-017-1003","AQS"
"10/19/2013","18","","Jersey City Firehouse","34-017-1003","AQS"
"10/25/2013","11","","Jersey City Firehouse","34-017-1003","AQS"
"10/31/2013","27","","Jersey City Firehouse","34-017-1003","AQS"
"11/12/2013","8","","Jersey City Firehouse","34-017-1003","AQS"
"11/18/2013","8","","Jersey City Firehouse","34-017-1003","AQS"
"11/24/2013","7","","Jersey City Firehouse","34-017-1003","AQS"
"11/30/2013","9","","Jersey City Firehouse","34-017-1003","AQS"
"12/06/2013","10","","Jersey City Firehouse","34-017-1003","AQS"
"12/12/2013","14","","Jersey City Firehouse","34-017-1003","AQS"
"12/18/2013","19","","Jersey City Firehouse","34-017-1003","AQS"
"12/24/2013","10","","Jersey City Firehouse","34-017-1003","AQS"
"12/30/2013","9","","Jersey City Firehouse","34-017-1003","AQS"
"01/02/2014","17","","Newark Firehouse","34-013-0003","AQS"
"01/05/2014","39","","Newark Firehouse","34-013-0003","AQS"
"01/08/2014","15","","Newark Firehouse","34-013-0003","AQS"
"01/11/2014","8","","Jersey City Firehouse","34-017-1003","AQS"
"01/17/2014","29","","Newark Firehouse","34-013-0003","AQS"
"01/20/2014","11","","Newark Firehouse","34-013-0003","AQS"
"01/23/2014","18","","Jersey City Firehouse","34-017-1003","AQS"
"01/26/2014","13","","Newark Firehouse","34-013-0003","AQS"
"01/29/2014","30","","Jersey City Firehouse","34-017-1003","AQS"
"02/01/2014","44","","Newark Firehouse","34-013-0003","AQS"
"02/04/2014","21","","Newark Firehouse","34-013-0003","AQS"
"02/07/2014","19","","Newark Firehouse","34-013-0003","AQS"
"02/10/2014","25","","Jersey City Firehouse","34-017-1003","AQS"
"02/13/2014","6","","Newark Firehouse","34-013-0003","AQS"
"02/16/2014","11","","Jersey City Firehouse","34-017-1003","AQS"
"02/19/2014","46","","Newark Firehouse","34-013-0003","AQS"
"02/22/2014","19","","Jersey City Firehouse","34-017-1003","AQS"
"02/25/2014","13","","Newark Firehouse","34-013-0003","AQS"
"02/28/2014","15","","Jersey City Firehouse","34-017-1003","AQS"
"03/06/2014","19","","Newark Firehouse","34-013-0003","AQS"
"03/09/2014","23","","Newark Firehouse","34-013-0003","AQS"
"03/12/2014","39","","Newark Firehouse","34-013-0003","AQS"
"03/15/2014","15","","Newark Firehouse","34-013-0003","AQS"
"03/18/2014","22","","Newark Firehouse","34-013-0003","AQS"
"03/21/2014","8","","Newark Firehouse","34-013-0003","AQS"
"03/24/2014","8","","Jersey City Firehouse","34-017-1003","AQS"
"03/27/2014","16","","Jersey City Firehouse","34-017-1003","AQS"
"03/30/2014","4","","Jersey City Firehouse","34-017-1003","AQS"
"04/02/2014","24","","Newark Firehouse","34-013-0003","AQS"
"04/05/2014","7","","Jersey City Firehouse","34-017-1003","AQS"
"04/08/2014","8","","Newark Firehouse","34-013-0003","AQS"
"04/11/2014","23","","Jersey City Firehouse","34-017-1003","AQS"
"04/17/2014","16","","Newark Firehouse","34-013-0003","AQS"
"04/20/2014","9","","Newark Firehouse","34-013-0003","AQS"
"04/23/2014","22","","Jersey City Firehouse","34-017-1003","AQS"
"04/26/2014","9","","Newark Firehouse","34-013-0003","AQS"
"04/29/2014","15","","Newark Firehouse","34-013-0003","AQS"
"05/02/2014","11","","Newark Firehouse","34-013-0003","AQS"
"05/05/2014","17","","Jersey City Firehouse","34-017-1003","AQS"
"05/08/2014","19","","Newark Firehouse","34-013-0003","AQS"
"05/11/2014","15","","Jersey City Firehouse","34-017-1003","AQS"
"05/14/2014","18","","Newark Firehouse","34-013-0003","AQS"
"05/17/2014","11","","Jersey City Firehouse","34-017-1003","AQS"
"05/20/2014","12","","Newark Firehouse","34-013-0003","AQS"
"05/23/2014","21","","Jersey City Firehouse","34-017-1003","AQS"
"05/26/2014","19","","Newark Firehouse","34-013-0003","AQS"
"05/29/2014","17","","Jersey City Firehouse","34-017-1003","AQS"
"06/01/2014","12","","Newark Firehouse","34-013-0003","AQS"
"06/04/2014","30","","Jersey City Firehouse","34-017-1003","AQS"
"06/07/2014","8","","Newark Firehouse","34-013-0003","AQS"
"06/10/2014","30","","Newark Firehouse","34-013-0003","AQS"
"06/13/2014","10","","Newark Firehouse","34-013-0003","AQS"
"06/16/2014","14","","Newark Firehouse","34-013-0003","AQS"
"06/19/2014","12","","Newark Firehouse","34-013-0003","AQS"
"06/22/2014","20","","Jersey City Firehouse","34-017-1003","AQS"
"06/25/2014","17","","Newark Firehouse","34-013-0003","AQS"
"06/28/2014","19","","Jersey City Firehouse","34-017-1003","AQS"
"07/01/2014","19","","Newark Firehouse","34-013-0003","AQS"
"07/04/2014","12","","Jersey City Firehouse","34-017-1003","AQS"
"07/07/2014","22","","Newark Firehouse","34-013-0003","AQS"
"07/10/2014","21","","Jersey City Firehouse","34-017-1003","AQS"
"07/13/2014","12","","Newark Firehouse","34-013-0003","AQS"
"07/16/2014","16","","Jersey City Firehouse","34-017-1003","AQS"
"07/19/2014","16","","Newark Firehouse","34-013-0003","AQS"
"07/22/2014","25","","Jersey City Firehouse","34-017-1003","AQS"
"07/28/2014","9","","Jersey City Firehouse","34-017-1003","AQS"
"07/31/2014","19","","Newark Firehouse","34-013-0003","AQS"
"08/03/2014","16","","Jersey City Firehouse","34-017-1003","AQS"
"08/06/2014","7","","Newark Firehouse","34-013-0003","AQS"
"08/09/2014","18","","Jersey City Firehouse","34-017-1003","AQS"
"08/12/2014","18","","Newark Firehouse","34-013-0003","AQS"
"08/15/2014","9","","Jersey City Firehouse","34-017-1003","AQS"
"08/21/2014","14","","Jersey City Firehouse","34-017-1003","AQS"
"08/24/2014","8","","Newark Firehouse","34-013-0003","AQS"
"08/27/2014","27","","Jersey City Firehouse","34-017-1003","AQS"
"08/30/2014","13","","Newark Firehouse","34-013-0003","AQS"
"09/02/2014","25","","Jersey City Firehouse","34-017-1003","AQS"
"09/05/2014","21","","Newark Firehouse","34-013-0003","AQS"
"09/08/2014","16","","Jersey City Firehouse","34-017-1003","AQS"
"09/11/2014","16","","Newark Firehouse","34-013-0003","AQS"
"09/14/2014","6","","Jersey City Firehouse","34-017-1003","AQS"
"09/17/2014","8","","Newark Firehouse","34-013-0003","AQS"
"09/20/2014","19","","Newark Firehouse","34-013-0003","AQS"
