"Date","Sulfur Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"03/27/2011","4","","Riviera Beach","12-099-3004","AQS"
"03/28/2011","6","","Riviera Beach","12-099-3004","AQS"
"03/29/2011","4","","Riviera Beach","12-099-3004","AQS"
"03/30/2011","6","","Riviera Beach","12-099-3004","AQS"
"03/31/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/01/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/02/2011","13","","Lincoln Park Elementary","12-011-0010","AQS"
"04/03/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/04/2011","6","","Lincoln Park Elementary","12-011-0010","AQS"
"04/05/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/06/2011","3","","Riviera Beach","12-099-3004","AQS"
"04/07/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/08/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/09/2011","10","","Lincoln Park Elementary","12-011-0010","AQS"
"04/10/2011","13","","Lincoln Park Elementary","12-011-0010","AQS"
"04/11/2011","6","","Lincoln Park Elementary","12-011-0010","AQS"
"04/12/2011","4","","Lincoln Park Elementary","12-011-0010","AQS"
"04/13/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/14/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/15/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/16/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/17/2011","7","","Lincoln Park Elementary","12-011-0010","AQS"
"04/18/2011","21","","Lincoln Park Elementary","12-011-0010","AQS"
"04/19/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/20/2011","6","","Riviera Beach","12-099-3004","AQS"
"04/21/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/22/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/23/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/24/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/25/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/26/2011","4","","Riviera Beach","12-099-3004","AQS"
"04/27/2011","31","","Lincoln Park Elementary","12-011-0010","AQS"
"04/28/2011","10","","Lincoln Park Elementary","12-011-0010","AQS"
"04/29/2011","6","","Riviera Beach","12-099-3004","AQS"
"04/30/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/01/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/02/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/03/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/04/2011","4","","Lincoln Park Elementary","12-011-0010","AQS"
"05/05/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/06/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/07/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/08/2011","29","","Lincoln Park Elementary","12-011-0010","AQS"
"05/09/2011","17","","Lincoln Park Elementary","12-011-0010","AQS"
"05/10/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/11/2011","16","","Lincoln Park Elementary","12-011-0010","AQS"
"05/12/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/13/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/14/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/15/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/16/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/17/2011","3","","Riviera Beach","12-099-3004","AQS"
"05/18/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/19/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/20/2011","4","","Riviera Beach","12-099-3004","AQS"
"05/21/2011","4","","Lincoln Park Elementary","12-011-0010","AQS"
"05/22/2011","6","","Riviera Beach","12-099-3004","AQS"
"05/23/2011","6","","Riviera Beach","12-099-3004","AQS"
"05/24/2011","6","","Riviera Beach","12-099-3004","AQS"
"05/25/2011","6","","Riviera Beach","12-099-3004","AQS"
"05/26/2011","6","","Riviera Beach","12-099-3004","AQS"
"05/27/2011","6","","Riviera Beach","12-099-3004","AQS"
"05/28/2011","6","","Riviera Beach","12-099-3004","AQS"
"05/29/2011","6","","Riviera Beach","12-099-3004","AQS"
"05/30/2011","6","","Riviera Beach","12-099-3004","AQS"
"05/31/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/01/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/02/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/03/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/04/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/05/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/06/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/07/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/08/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/09/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/10/2011","7","","Riviera Beach","12-099-3004","AQS"
"06/11/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/12/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/13/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/14/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/15/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/16/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/17/2011","6","","Riviera Beach","12-099-3004","AQS"
"06/18/2011","7","","Lincoln Park Elementary","12-011-0010","AQS"
"06/19/2011","4","","Riviera Beach","12-099-3004","AQS"
"06/20/2011","4","","Riviera Beach","12-099-3004","AQS"
"06/21/2011","3","","Riviera Beach","12-099-3004","AQS"
"06/22/2011","3","","Riviera Beach","12-099-3004","AQS"
"06/23/2011","3","","Riviera Beach","12-099-3004","AQS"
"06/24/2011","3","","Riviera Beach","12-099-3004","AQS"
"06/25/2011","3","","Riviera Beach","12-099-3004","AQS"
"06/26/2011","3","","Riviera Beach","12-099-3004","AQS"
"06/27/2011","3","","Riviera Beach","12-099-3004","AQS"
"06/28/2011","3","","Riviera Beach","12-099-3004","AQS"
"06/29/2011","3","","Riviera Beach","12-099-3004","AQS"
"06/30/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/01/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"07/02/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/03/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/04/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/05/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/06/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/07/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/08/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/09/2011","6","","Lincoln Park Elementary","12-011-0010","AQS"
"07/10/2011","3","","Lincoln Park Elementary","12-011-0010","AQS"
"07/11/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"07/12/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"07/13/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"07/14/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"07/15/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"07/16/2011","6","","Lincoln Park Elementary","12-011-0010","AQS"
"07/17/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/18/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/19/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/20/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"07/21/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"07/22/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"07/23/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"07/24/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/25/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/26/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/27/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/28/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/29/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/30/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"07/31/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
