"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/21/2012","52","","IS 74","36-005-0112","AQS"
"08/22/2012","62","","Elizabeth Lab","34-039-0004","AQS"
"08/23/2012","65","","Elizabeth Lab","34-039-0004","AQS"
"08/24/2012","72","","Elizabeth Lab","34-039-0004","AQS"
"08/25/2012","64","","JHS 126","36-047-0122","AQS"
"08/26/2012","40","","Flemington","34-019-0001","AQS"
"08/27/2012","40","","MORRISANIA","36-005-0080","AQS"
"08/28/2012","51","","IS 45","36-061-0079","AQS"
"08/29/2012","33","","Flemington","34-019-0001","AQS"
"08/30/2012","35","","Flemington","34-019-0001","AQS"
"08/31/2012","75","","DIVISION STREET","36-061-0134","AQS"
"09/01/2012","80","","Toms River","34-029-2002","AQS"
"09/02/2012","55","","Toms River","34-029-2002","AQS"
"09/03/2012","62","","Union City","34-017-2002","AQS"
"09/04/2012","54","","Elizabeth Lab","34-039-0004","AQS"
"09/05/2012","43","","Flemington","34-019-0001","AQS"
"09/06/2012","57","","New Brunswick","34-023-0006","AQS"
"09/07/2012","66","","Elizabeth Lab","34-039-0004","AQS"
"09/08/2012","43","","Elizabeth Lab","34-039-0004","AQS"
"09/09/2012","31","","Chester","34-027-3001","AQS"
"09/10/2012","24","","Toms River","34-029-2002","AQS"
"09/11/2012","27","","Rahway","34-039-2003","AQS"
"09/12/2012","54","","Newark Firehouse","34-013-0003","AQS"
"09/13/2012","50","","Jersey City Firehouse","34-017-1003","AQS"
"09/14/2012","42","","Flemington","34-019-0001","AQS"
"09/15/2012","25","","DIVISION STREET","36-061-0134","AQS"
"09/16/2012","25","","Flemington","34-019-0001","AQS"
"09/17/2012","45","","PS 19","36-061-0128","AQS"
"09/18/2012","44","","Newark Firehouse","34-013-0003","AQS"
"09/19/2012","17","","Rahway","34-039-2003","AQS"
"09/20/2012","25","","Elizabeth Lab","34-039-0004","AQS"
"09/21/2012","30","","Newark Firehouse","34-013-0003","AQS"
"09/22/2012","47","","Flemington","34-019-0001","AQS"
