date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20191109,0,SO2,3,3,1,1,2,2,3,3,,3,3,4,2,1,1,3,2,3,1,3,3,1,2,2,2,1,3,5,3,3,2,8,6,8,8
20191109,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191109,0,NO2,67,44,76,75,84,76,57,38,,82,74,72,81,78,74,90,71,47,54,39,34,44,39,40,55,14,43,61,50,41,78,71,89,83,78
20191109,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191109,0,O3,5,2,2,2,1,2,1,2,,1,2,2,2,2,1,2,3,6,3,13,13,2,2,10,4,43,2,1,1,1,2,2,1,2,2
20191109,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191109,0,CO,1.2,1.1,1.1,0.9,1.4,1.1,1.5,0.9,,1.3,0.7,1.2,1.7,1.3,1.1,1.5,1,0.6,0.7,0.4,0.5,0.6,1,0.6,0.6,0.3,0.8,1,1.1,0.7,1.4,1.4,1.8,1.9,1.4
20191109,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191109,1,SO2,4,3,2,2,3,3,4,3,,5,3,4,2,2,1,3,2,2,1,3,3,1,1,2,2,1,2,6,3,3,4,8,8,7,14
20191109,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191109,1,NO2,75,39,72,71,80,78,53,40,,88,80,65,78,65,70,82,62,49,48,41,24,45,39,35,54,11,37,64,60,33,78,62,85,80,91
20191109,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191109,1,O3,4,2,2,2,2,1,1,2,,1,1,2,2,2,1,2,3,3,5,10,17,2,2,10,3,44,2,2,1,1,2,2,2,2,2
20191109,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
