date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20191107,0,SO2,4,1,3,3,4,2,1,2,,1,3,1,1,1,3,3,1,3,3,3,1,3,1,1,4,3,3,2,1,3,3,4,4,4,11
20191107,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191107,0,NO2,75,62,77,82,74,69,61,34,,85,59,67,72,86,86,67,52,34,53,34,28,46,43,30,55,9,38,57,54,29,72,83,78,88,76
20191107,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191107,0,O3,3,2,2,2,2,3,2,2,,1,2,2,2,2,2,2,1,4,2,11,10,2,2,2,1,53,2,2,2,2,2,2,2,2,2
20191107,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191107,0,CO,1.3,1.1,1.1,1.1,1.3,1.2,1,0.9,,1.1,0.8,0.9,0.7,1.3,1.2,1,0.8,0.6,0.8,0.7,0.7,0.7,1.1,0.7,0.9,0.3,0.8,0.9,0.9,0.7,1.2,1.2,1,1.3,1.3
20191107,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191107,1,SO2,4,1,3,3,4,3,1,2,,1,3,3,1,1,3,3,1,3,3,3,1,3,1,1,5,3,1,3,1,3,2,3,4,4,11
20191107,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191107,1,NO2,66,62,65,73,66,59,55,33,,79,53,65,74,78,83,62,56,40,48,29,25,14,42,26,57,6,34,60,66,27,65,73,65,81,64
20191107,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191107,1,O3,2,2,2,2,2,3,2,2,,2,2,2,2,2,1,2,1,2,2,13,15,38,2,1,1,60,2,2,2,2,2,2,2,2,2
20191107,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191107,1,CO,1.2,1,0.9,1.1,1.1,1,0.8,0.9,,0.9,0.7,0.8,0.8,1.1,1.1,0.9,0.8,0.7,0.7,0.7,0.6,0.3,0.7,0.6,0.7,0.2,0.8,0.9,0.9,0.7,1.1,0.9,0.9,1.1,1
20191107,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191107,2,SO2,3,1,1,3,1,3,1,1,,1,1,2,1,1,2,1,1,3,3,3,2,2,3,3,3,3,2,3,1,1,3,5,5,3,14
20191107,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191107,2,NO2,59,54,64,65,60,59,48,31,,66,56,66,75,71,71,58,45,36,46,27,16,5,43,17,63,6,29,57,69,39,58,65,62,72,62
20191107,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191107,2,O3,2,2,2,2,2,3,2,2,,2,2,2,2,2,2,2,10,2,2,11,42,49,2,20,2,62,2,2,2,3,2,2,2,2,2
20191107,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
