date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20190221,0,SO2,3,1,3,2,2,3,2,1,,2,3,5,1,1,3,3,6,6,4,2,4,3,11,6,13,2,1,5,3,2,2,5,1,3,2
20190221,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,0,NO2,52,67,58,80,105,52,57,64,,109,29,77,88,58,73,77,78,40,47,20,22,45,65,23,72,6,32,93,74,38,77,71,87,90,66
20190221,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,0,O3,42,30,35,19,9,42,29,3,,4,65,2,9,26,23,24,5,29,30,41,40,11,2,37,12,60,41,21,10,22,26,25,20,12,39
20190221,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,0,CO,1.4,1.5,1.5,1.7,1.6,1.3,1.3,1.1,,1.6,1,1.3,2.2,1.6,1.5,1.3,0.8,0.8,1,0.6,0.5,0.4,2.7,0.7,0.8,0.3,0.7,1.4,1.9,1.3,1.6,1.7,1.8,1.4,1.4
20190221,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,1,SO2,3,1,2,1,2,3,2,1,,2,3,3,1,1,2,3,7,6,3,1,3,3,12,6,17,2,1,4,2,2,3,4,1,3,4
20190221,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,1,NO2,56,66,60,82,82,57,81,64,,101,29,69,86,56,70,86,66,66,38,19,17,46,58,38,70,5,38,106,79,31,97,80,98,101,79
20190221,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,1,O3,34,21,25,13,26,34,2,2,,4,62,2,2,24,21,14,9,3,37,40,41,7,4,23,14,60,32,6,6,26,6,12,7,2,21
20190221,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,1,CO,1.5,1.6,1.5,1.7,1.6,1.3,1.6,1,,1.5,0.8,1.2,1.6,1.7,1.6,1.4,0.9,1.1,0.9,0.7,0.5,0.5,3.5,0.7,0.9,0.2,0.7,1.5,1.9,1.2,1.8,1.8,1.8,1.5,1.6
20190221,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,2,SO2,3,2,2,1,2,2,2,1,,2,2,3,1,3,2,3,4,2,3,1,3,3,10,6,19,2,1,3,2,3,2,4,3,6,8
20190221,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,2,NO2,70,80,66,85,99,74,78,61,,95,33,68,64,64,87,87,47,46,38,16,15,39,54,32,80,6,45,103,75,27,95,92,102,99,110
20190221,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,2,O3,22,6,14,5,5,16,1,2,,3,55,2,19,14,6,8,25,11,35,41,42,12,2,26,8,55,30,3,8,26,5,2,1,2,2
20190221,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,2,CO,1.6,1.7,1.4,1.7,1.6,1.4,1.3,1,,1.5,0.9,1.1,1.4,1.7,1.6,1.5,0.6,1,0.8,0.7,0.5,0.4,3.6,0.8,1,0.3,0.9,1.5,2,1,1.8,1.9,1.9,1.5,1.7
20190221,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,3,SO2,7,2,2,1,4,2,2,1,,2,2,3,1,3,2,3,4,5,3,1,3,3,9,6,14,2,3,3,2,3,3,5,4,5,13
20190221,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190221,3,NO2,95,80,82,93,105,83,75,62,,89,42,71,74,79,94,103,43,58,36,12,15,40,48,16,77,7,50,98,75,27,98,87,103,97,112
20190221,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
