date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20191104,0,PM2.5,39,44,37,40,39,45,40,37,,44,41,39,54,43,39,49,33,40,31,34,26,29,8,36,31,17,39,46,40,50,37,41,44,41,42
20191104,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,0,PM10,57,,59,54,59,65,75,,,69,72,66,88,72,59,95,67,,38,50,29,50,40,,,35,78,76,66,82,66,56,66,79,75
20191104,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,0,AQI,55,61,55,56,55,63,63,53,,61,61,58,74,61,55,73,59,56,44,50,37,50,40,51,44,35,64,64,58,69,58,58,61,65,63
20191104,1,PM2.5,39,40,41,44,39,40,37,35,,50,44,39,54,40,39,54,36,37,29,31,27,24,36,30,26,16,40,48,46,39,44,37,47,46,43
20191104,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,1,PM10,60,42,56,58,63,60,64,48,,89,82,61,93,75,62,130,65,,37,46,33,45,,,,42,66,85,71,79,77,51,73,93,113
20191104,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,1,AQI,55,56,58,61,57,56,57,50,,70,66,56,74,63,56,90,58,53,41,46,39,45,51,43,37,42,58,68,64,65,64,53,65,72,82
20191104,2,PM2.5,44,44,40,43,42,42,38,36,,50,41,43,54,43,39,54,41,40,28,29,26,21,33,31,29,17,39,45,52,39,45,38,47,49,45
20191104,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,2,PM10,66,,57,62,71,65,61,42,,102,60,62,105,70,63,121,70,,35,43,28,42,,32,,40,61,73,86,60,79,41,82,92,126
20191104,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,2,AQI,61,61,56,60,61,59,56,51,,76,58,60,78,60,57,86,60,56,40,43,37,42,47,44,41,40,56,63,71,55,65,54,66,71,88
20191104,3,PM2.5,46,43,40,47,46,47,39,29,,50,39,67,54,46,42,51,37,33,26,30,25,17,31,26,28,16,35,40,56,40,55,43,52,51,45
20191104,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,3,PM10,66,,55,63,78,83,51,33,,108,52,167,112,68,56,114,58,,30,42,28,37,40,27,,37,50,57,85,50,68,50,126,89,128
20191104,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,3,AQI,64,60,56,65,64,67,55,41,,79,55,109,81,64,59,82,54,47,37,43,36,37,44,37,40,37,50,56,76,56,75,60,88,70,89
20191104,4,PM2.5,47,42,43,47,47,58,40,29,,54,40,50,57,49,45,52,29,40,26,32,24,16,29,25,34,18,34,45,55,41,52,45,46,52,43
20191104,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,4,PM10,78,,64,69,82,118,55,,,106,55,118,103,75,58,125,50,,27,46,25,37,46,,,33,59,72,74,48,63,56,79,92,138
20191104,4,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,4,AQI,65,59,60,65,66,84,56,41,,78,56,84,78,68,63,88,50,56,37,46,34,37,46,36,49,33,55,63,75,58,71,63,65,71,94
20191104,5,PM2.5,47,44,44,48,40,50,43,27,,57,39,38,57,46,44,51,22,33,23,30,39,18,2,23,37,18,33,41,53,38,38,43,50,53,40
20191104,5,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,5,PM10,96,49,78,73,73,115,67,,,129,64,63,100,81,59,117,43,,26,36,,38,66,,,35,53,74,62,49,69,63,85,96,127
20191104,5,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,5,AQI,73,61,64,66,62,83,60,39,,90,57,57,78,66,61,84,43,47,33,43,55,38,58,33,53,35,52,62,73,54,60,60,69,73,89
20191104,6,PM2.5,45,40,39,46,29,51,38,32,,48,30,38,56,47,42,48,21,33,27,28,23,17,49,21,37,17,33,41,54,31,43,42,43,50,38
20191104,6,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,6,PM10,87,54,78,71,57,95,54,36,,95,41,59,100,76,59,98,34,,29,38,23,38,,22,,35,52,60,69,32,68,82,68,88,111
20191104,6,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,6,AQI,69,56,64,64,54,73,54,46,,73,43,55,76,65,59,74,34,47,39,40,33,38,68,30,53,35,51,58,74,44,60,66,60,69,81
20191104,7,PM2.5,33,38,31,40,24,42,39,33,,44,29,36,61,50,45,37,19,36,26,26,20,19,,24,38,18,35,38,55,31,35,38,26,44,32
20191104,7,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191104,7,PM10,60,56,63,74,34,74,50,35,,82,40,55,112,80,64,76,37,44,37,51,27,40,42,,,34,69,55,65,,55,64,46,87,92
