"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/28/2020","AQS","060370002","2","34.3","ppb","32","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/29/2020","AQS","060370002","2","32.1","ppb","30","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/30/2020","AQS","060370002","2","29.5","ppb","27","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/31/2020","AQS","060370002","2","22.8","ppb","21","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/01/2020","AQS","060370002","2","13.4","ppb","12","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/02/2020","AQS","060370002","2","12.9","ppb","11","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/03/2020","AQS","060370002","2","6","ppb","6","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/04/2020","AQS","060370002","2","39.8","ppb","37","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/05/2020","AQS","060370002","2","30.8","ppb","28","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/06/2020","AQS","060370002","2","33.8","ppb","31","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/07/2020","AQS","060370002","2","39.8","ppb","37","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/08/2020","AQS","060370002","2","43.8","ppb","41","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/09/2020","AQS","060370002","2","12.1","ppb","11","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/10/2020","AQS","060370002","2","30.5","ppb","28","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/11/2020","AQS","060370002","2","35.2","ppb","33","Azusa","24","100.0000","42602","Nitrogen dioxide (NO2)","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
