Date,AQI Value,Main Pollutant,Site Name,Site ID,Source
08/18/2014,112,Ozone,Santa Clarita,06-037-6012,AQS
08/19/2014,67,PM2.5,Reseda,06-037-1201,AQS
08/20/2014,71,Ozone,Lancaster-division Street,06-037-9033,AQS
08/21/2014,62,PM2.5,Reseda,06-037-1201,AQS
08/22/2014,59,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
08/23/2014,87,Ozone,Lancaster-division Street,06-037-9033,AQS
08/24/2014,97,Ozone,Glendora,06-037-0016,AQS
08/25/2014,61,Ozone,Lancaster-division Street,06-037-9033,AQS
08/26/2014,77,Ozone,Lancaster-division Street,06-037-9033,AQS
08/27/2014,87,Ozone,Reseda,06-037-1201,AQS
08/28/2014,80,Ozone,Pomona,06-037-1701,AQS
08/29/2014,161,Ozone,Santa Clarita,06-037-6012,AQS
08/30/2014,203,Ozone,Santa Clarita,06-037-6012,AQS
08/31/2014,161,Ozone,Santa Clarita,06-037-6012,AQS
09/01/2014,129,Ozone,Glendora,06-037-0016,AQS
09/02/2014,119,Ozone,Santa Clarita,06-037-6012,AQS
09/03/2014,112,Ozone,Santa Clarita,06-037-6012,AQS
09/04/2014,90,Ozone,Pomona,06-037-1701,AQS
09/05/2014,119,Ozone,Pomona,06-037-1701,AQS
09/06/2014,156,Ozone,Pomona,06-037-1701,AQS
09/07/2014,143,Ozone,Glendora,06-037-0016,AQS
09/08/2014,72,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
09/09/2014,66,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
09/10/2014,100,Ozone,Reseda,06-037-1201,AQS
09/11/2014,122,Ozone,Santa Clarita,06-037-6012,AQS
09/12/2014,126,Ozone,Pomona,06-037-1701,AQS
09/13/2014,172,Ozone,Glendora,06-037-0016,AQS
09/14/2014,164,Ozone,Glendora,06-037-0016,AQS
09/15/2014,112,Ozone,Glendora,06-037-0016,AQS
09/16/2014,187,Ozone,Glendora,06-037-0016,AQS
09/17/2014,101,Ozone,Lancaster-division Street,06-037-9033,AQS
09/18/2014,62,PM2.5,Reseda,06-037-1201,AQS
09/19/2014,65,PM2.5,Reseda,06-037-1201,AQS
09/20/2014,71,PM2.5,Reseda,06-037-1201,AQS
09/21/2014,74,Ozone,Santa Clarita,06-037-6012,AQS
09/22/2014,77,Ozone,Santa Clarita,06-037-6012,AQS
09/23/2014,97,Ozone,Glendora,06-037-0016,AQS
09/24/2014,63,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
09/25/2014,60,NO2,Los Angeles-north Main Street,06-037-1103,AQS
09/26/2014,55,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
09/27/2014,63,PM2.5,Reseda,06-037-1201,AQS
09/28/2014,65,PM2.5,Reseda,06-037-1201,AQS
09/29/2014,61,Ozone,Santa Clarita,06-037-6012,AQS
09/30/2014,90,Ozone,Reseda,06-037-1201,AQS
10/01/2014,87,Ozone,Reseda,06-037-1201,AQS
10/02/2014,71,Ozone,Glendora,06-037-0016,AQS
10/03/2014,101,Ozone,Glendora,06-037-0016,AQS
10/04/2014,129,Ozone,Anaheim,06-059-0007,AQS
10/05/2014,190,Ozone,Glendora,06-037-0016,AQS
10/06/2014,143,Ozone,Reseda,06-037-1201,AQS
10/07/2014,129,Ozone,Santa Clarita,06-037-6012,AQS
10/08/2014,126,Ozone,Santa Clarita,06-037-6012,AQS
10/09/2014,72,PM2.5,Reseda,06-037-1201,AQS
10/10/2014,105,Ozone,Santa Clarita,06-037-6012,AQS
10/11/2014,112,Ozone,Pomona,06-037-1701,AQS
10/12/2014,147,Ozone,Santa Clarita,06-037-6012,AQS
10/13/2014,92,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
10/14/2014,84,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
10/15/2014,59,PM2.5,Reseda,06-037-1201,AQS
10/16/2014,74,Ozone,Lancaster-division Street,06-037-9033,AQS
10/17/2014,90,Ozone,Lancaster-division Street,06-037-9033,AQS
10/18/2014,93,Ozone,Santa Clarita,06-037-6012,AQS
10/19/2014,80,Ozone,Glendora,06-037-0016,AQS
10/20/2014,73,PM2.5,Reseda,06-037-1201,AQS
10/21/2014,74,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
10/22/2014,77,Ozone,Pomona,06-037-1701,AQS
