Date,Nitrogen Dioxide AQI Value,Site Name,Site ID,Source
05/21/2020,39,Long Beach-route 710 Near Road,06-037-4008,AQS
05/22/2020,25,Pico Rivera #2,06-037-1602,AQS
05/23/2020,17,Pico Rivera #2,06-037-1602,AQS
05/24/2020,19,Pomona,06-037-1701,AQS
05/25/2020,21,Pomona,06-037-1701,AQS
05/26/2020,38,Long Beach-route 710 Near Road,06-037-4008,AQS
05/27/2020,28,Pomona,06-037-1701,AQS
05/28/2020,26,Long Beach-route 710 Near Road,06-037-4008,AQS
05/29/2020,18,Long Beach-route 710 Near Road,06-037-4008,AQS
05/30/2020,15,Long Beach-route 710 Near Road,06-037-4008,AQS
05/31/2020,19,Los Angeles-north Main Street,06-037-1103,AQS
06/01/2020,38,Long Beach-route 710 Near Road,06-037-4008,AQS
06/02/2020,28,Pomona,06-037-1701,AQS
06/03/2020,38,Long Beach-route 710 Near Road,06-037-4008,AQS
06/04/2020,19,Pomona,06-037-1701,AQS
06/05/2020,17,Long Beach-route 710 Near Road,06-037-4008,AQS
06/06/2020,13,Long Beach-route 710 Near Road,06-037-4008,AQS
06/07/2020,18,Long Beach-route 710 Near Road,06-037-4008,AQS
06/08/2020,43,Long Beach-route 710 Near Road,06-037-4008,AQS
06/09/2020,55,Long Beach-route 710 Near Road,06-037-4008,AQS
06/10/2020,56,Long Beach-route 710 Near Road,06-037-4008,AQS
06/11/2020,41,Los Angeles-north Main Street,06-037-1103,AQS
06/12/2020,22,Long Beach-route 710 Near Road,06-037-4008,AQS
06/13/2020,17,Los Angeles-north Main Street,06-037-1103,AQS
06/14/2020,21,Pico Rivera #2,06-037-1602,AQS
06/15/2020,28,Long Beach-route 710 Near Road,06-037-4008,AQS
06/16/2020,31,Long Beach-route 710 Near Road,06-037-4008,AQS
06/17/2020,14,Los Angeles-north Main Street,06-037-1103,AQS
06/18/2020,35,Long Beach-route 710 Near Road,06-037-4008,AQS
06/19/2020,23,Long Beach-route 710 Near Road,06-037-4008,AQS
06/20/2020,21,Long Beach-route 710 Near Road,06-037-4008,AQS
06/21/2020,14,Anaheim Near-road,06-059-0008,AQS
06/22/2020,27,Long Beach-route 710 Near Road,06-037-4008,AQS
06/23/2020,31,Long Beach-route 710 Near Road,06-037-4008,AQS
06/24/2020,36,Long Beach-route 710 Near Road,06-037-4008,AQS
06/25/2020,30,Long Beach-route 710 Near Road,06-037-4008,AQS
06/26/2020,37,Long Beach-route 710 Near Road,06-037-4008,AQS
06/27/2020,18,Azusa,06-037-0002,AQS
06/28/2020,8,Anaheim Near-road,06-059-0008,AQS
06/29/2020,30,Long Beach-route 710 Near Road,06-037-4008,AQS
06/30/2020,34,Long Beach-route 710 Near Road,06-037-4008,AQS
07/01/2020,26,Lancaster-division Street,06-037-9033,AQS
07/02/2020,21,Long Beach-route 710 Near Road,06-037-4008,AQS
07/03/2020,33,Long Beach-route 710 Near Road,06-037-4008,AQS
07/04/2020,26,Los Angeles-north Main Street,06-037-1103,AQS
07/05/2020,25,Azusa,06-037-0002,AQS
07/06/2020,35,Long Beach-route 710 Near Road,06-037-4008,AQS
07/07/2020,37,Long Beach-route 710 Near Road,06-037-4008,AQS
07/08/2020,31,Long Beach-route 710 Near Road,06-037-4008,AQS
07/09/2020,30,Long Beach-route 710 Near Road,06-037-4008,AQS
07/10/2020,43,Long Beach-route 710 Near Road,06-037-4008,AQS
07/11/2020,33,Pomona,06-037-1701,AQS
07/12/2020,24,Los Angeles-north Main Street,06-037-1103,AQS
07/13/2020,25,Long Beach-route 710 Near Road,06-037-4008,AQS
07/14/2020,26,Long Beach-route 710 Near Road,06-037-4008,AQS
07/15/2020,31,Long Beach-route 710 Near Road,06-037-4008,AQS
07/16/2020,31,Long Beach-route 710 Near Road,06-037-4008,AQS
07/17/2020,40,Long Beach-route 710 Near Road,06-037-4008,AQS
07/18/2020,21,Pico Rivera #2,06-037-1602,AQS
07/19/2020,16,Los Angeles-north Main Street,06-037-1103,AQS
07/20/2020,29,Long Beach-route 710 Near Road,06-037-4008,AQS
07/21/2020,32,Long Beach-route 710 Near Road,06-037-4008,AQS
07/22/2020,28,Long Beach-route 710 Near Road,06-037-4008,AQS
07/23/2020,23,Long Beach-route 710 Near Road,06-037-4008,AQS
07/24/2020,34,Long Beach-route 710 Near Road,06-037-4008,AQS
07/25/2020,19,Pomona,06-037-1701,AQS
07/26/2020,20,Lancaster-division Street,06-037-9033,AQS
07/27/2020,36,Long Beach-route 710 Near Road,06-037-4008,AQS
07/28/2020,32,Long Beach-route 710 Near Road,06-037-4008,AQS
07/29/2020,41,Long Beach-route 710 Near Road,06-037-4008,AQS
07/30/2020,38,Long Beach-route 710 Near Road,06-037-4008,AQS
07/31/2020,46,Los Angeles-north Main Street,06-037-1103,AQS
08/01/2020,42,Los Angeles-north Main Street,06-037-1103,AQS
08/02/2020,25,Los Angeles-north Main Street,06-037-1103,AQS
08/03/2020,30,Los Angeles-north Main Street,06-037-1103,AQS
08/04/2020,31,Long Beach-route 710 Near Road,06-037-4008,AQS
08/05/2020,37,Long Beach-route 710 Near Road,06-037-4008,AQS
08/06/2020,32,Long Beach-route 710 Near Road,06-037-4008,AQS
08/07/2020,26,Long Beach-route 710 Near Road,06-037-4008,AQS
08/08/2020,29,Pomona,06-037-1701,AQS
08/09/2020,18,Pomona,06-037-1701,AQS
08/10/2020,34,Long Beach-route 710 Near Road,06-037-4008,AQS
08/11/2020,37,Long Beach-route 710 Near Road,06-037-4008,AQS
08/12/2020,50,Los Angeles-north Main Street,06-037-1103,AQS
08/13/2020,54,Long Beach-route 710 Near Road,06-037-4008,AQS
08/14/2020,56,Los Angeles-north Main Street,06-037-1103,AQS
08/15/2020,43,Pomona,06-037-1701,AQS
08/16/2020,28,Lancaster-division Street,06-037-9033,AQS
08/17/2020,43,Long Beach-route 710 Near Road,06-037-4008,AQS
08/18/2020,58,Long Beach-route 710 Near Road,06-037-4008,AQS
08/19/2020,44,Long Beach-route 710 Near Road,06-037-4008,AQS
08/20/2020,52,Long Beach-route 710 Near Road,06-037-4008,AQS
08/21/2020,48,Lancaster-division Street,06-037-9033,AQS
08/22/2020,30,Los Angeles-north Main Street,06-037-1103,AQS
08/23/2020,15,Los Angeles-north Main Street,06-037-1103,AQS
08/24/2020,29,Long Beach-route 710 Near Road,06-037-4008,AQS
08/25/2020,36,Long Beach-route 710 Near Road,06-037-4008,AQS
08/26/2020,36,Long Beach-route 710 Near Road,06-037-4008,AQS
08/27/2020,49,Long Beach-route 710 Near Road,06-037-4008,AQS
08/28/2020,38,Long Beach-route 710 Near Road,06-037-4008,AQS
08/29/2020,21,Pomona,06-037-1701,AQS
08/30/2020,14,Pomona,06-037-1701,AQS
08/31/2020,36,Lancaster-division Street,06-037-9033,AQS
09/01/2020,34,Long Beach-route 710 Near Road,06-037-4008,AQS
09/02/2020,37,Long Beach-route 710 Near Road,06-037-4008,AQS
09/03/2020,43,Long Beach-route 710 Near Road,06-037-4008,AQS
09/04/2020,58,Los Angeles-north Main Street,06-037-1103,AQS
09/05/2020,54,Los Angeles-north Main Street,06-037-1103,AQS
09/06/2020,43,Compton,06-037-1302,AQS
09/07/2020,39,Pomona,06-037-1701,AQS
09/08/2020,30,Signal Hill (lbsh),06-037-4009,AQS
09/09/2020,45,Long Beach-route 710 Near Road,06-037-4008,AQS
09/10/2020,54,Long Beach-route 710 Near Road,06-037-4008,AQS
09/11/2020,90,Long Beach-route 710 Near Road,06-037-4008,AQS
09/12/2020,65,Long Beach-route 710 Near Road,06-037-4008,AQS
09/13/2020,36,Pomona,06-037-1701,AQS
09/14/2020,57,Azusa,06-037-0002,AQS
