Date,PM10 AQI Value,Site Name,Site ID,Source
04/07/2011,29,Lancaster-division Street,06-037-9033,AQS
04/08/2011,17,Los Angeles-north Main Street,06-037-1103,AQS
04/09/2011,21,Los Angeles-north Main Street,06-037-1103,AQS
04/10/2011,26,Los Angeles-north Main Street,06-037-1103,AQS
04/11/2011,30,Los Angeles-north Main Street,06-037-1103,AQS
04/12/2011,35,Los Angeles-north Main Street,06-037-1103,AQS
04/13/2011,31,Glendora,06-037-0016,AQS
04/14/2011,46,Los Angeles-north Main Street,06-037-1103,AQS
04/15/2011,47,Los Angeles-north Main Street,06-037-1103,AQS
04/16/2011,42,Los Angeles-north Main Street,06-037-1103,AQS
04/17/2011,31,Los Angeles-north Main Street,06-037-1103,AQS
04/18/2011,27,Los Angeles-north Main Street,06-037-1103,AQS
04/19/2011,28,Los Angeles-north Main Street,06-037-1103,AQS
04/20/2011,25,Glendora,06-037-0016,AQS
04/21/2011,25,Azusa,06-037-0002,AQS
04/22/2011,22,Los Angeles-north Main Street,06-037-1103,AQS
04/23/2011,29,Los Angeles-north Main Street,06-037-1103,AQS
04/24/2011,18,Los Angeles-north Main Street,06-037-1103,AQS
04/25/2011,26,Los Angeles-north Main Street,06-037-1103,AQS
04/26/2011,37,Los Angeles-north Main Street,06-037-1103,AQS
04/27/2011,41,Long Beach (south),06-037-4004,AQS
04/28/2011,43,Los Angeles-north Main Street,06-037-1103,AQS
04/29/2011,43,Los Angeles-north Main Street,06-037-1103,AQS
04/30/2011,41,Anaheim,06-059-0007,AQS
05/01/2011,27,Los Angeles-north Main Street,06-037-1103,AQS
05/02/2011,39,Los Angeles-north Main Street,06-037-1103,AQS
05/03/2011,46,Los Angeles-north Main Street,06-037-1103,AQS
05/04/2011,56,Los Angeles-north Main Street,06-037-1103,AQS
05/05/2011,59,Los Angeles-north Main Street,06-037-1103,AQS
05/06/2011,48,Glendora,06-037-0016,AQS
05/07/2011,39,Glendora,06-037-0016,AQS
05/08/2011,24,Los Angeles-north Main Street,06-037-1103,AQS
05/09/2011,24,Azusa,06-037-0002,AQS
05/10/2011,30,Los Angeles-north Main Street,06-037-1103,AQS
05/11/2011,36,Glendora,06-037-0016,AQS
05/12/2011,39,Glendora,06-037-0016,AQS
05/13/2011,39,Glendora,06-037-0016,AQS
05/14/2011,22,Glendora,06-037-0016,AQS
05/15/2011,18,Long Beach (south),06-037-4004,AQS
05/16/2011,17,Los Angeles-north Main Street,06-037-1103,AQS
05/17/2011,17,Los Angeles-north Main Street,06-037-1103,AQS
05/18/2011,20,Los Angeles-north Main Street,06-037-1103,AQS
05/19/2011,29,Los Angeles-north Main Street,06-037-1103,AQS
05/20/2011,38,Glendora,06-037-0016,AQS
05/21/2011,44,Glendora,06-037-0016,AQS
05/22/2011,37,Glendora,06-037-0016,AQS
05/23/2011,31,Glendora,06-037-0016,AQS
05/24/2011,33,Glendora,06-037-0016,AQS
05/25/2011,40,Glendora,06-037-0016,AQS
