date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210209,0,SO2,4,1,5,5,7,7,5,3,3,6,2,2,3,1,2,2,3,3,4,6,3,1,1,3,3,3,7,3,3,5,2,4,8,2,6
20210209,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210209,0,NO2,41,49,39,44,80,40,70,37,78,27,46,63,19,26,20,35,47,23,19,46,23,16,30,54,52,41,32,29,42,36,67,21,41,75,20
20210209,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210209,0,O3,33,22,37,39,5,50,3,18,1,51,18,9,47,21,44,24,7,38,41,13,30,47,16,18,10,45,48,56,32,46,12,47,24,7,48
20210209,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210209,0,CO,0.9,1.1,0.9,1,1.1,0.9,1,0.6,1.1,0.8,0.9,0.8,0.5,0.7,0.5,0.9,1.5,0.7,0.7,1.3,0.8,0.7,0.9,1,1,0.8,0.8,0.9,0.8,0.8,1,0.7,1.3,0.8,0.9
20210209,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210209,1,SO2,4,1,3,4,21,6,6,3,3,6,2,3,3,1,2,1,3,3,3,5,3,1,1,3,3,3,6,3,3,5,1,4,5,2,5
20210209,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210209,1,NO2,46,39,68,50,86,41,65,49,74,24,40,62,17,26,19,38,51,27,19,41,17,15,29,50,48,48,46,27,37,37,68,21,31,55,17
20210209,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210209,1,O3,26,22,6,28,3,44,8,8,2,53,25,12,46,16,46,14,4,33,33,10,33,43,13,18,12,33,31,50,30,41,6,46,31,18,45
20210209,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210209,1,CO,1,1,1.2,1,1.5,0.9,0.9,0.8,1.1,0.8,0.9,0.8,0.5,0.7,0.5,1,1.7,0.8,0.7,1.2,0.7,0.7,1,0.9,1,0.9,0.8,0.8,0.8,0.8,1,0.7,1.2,0.6,1
20210209,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210209,2,SO2,6,1,6,4,14,8,2,3,2,6,3,3,2,1,2,1,3,1,1,3,1,2,1,3,3,2,5,2,1,4,1,3,5,2,4
20210209,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210209,2,NO2,71,32,66,47,63,88,65,52,68,25,68,69,14,25,17,43,48,20,17,32,11,13,28,48,53,69,70,45,41,38,69,26,38,54,14
20210209,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
