date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200220,0,SO2,8,3,3,2,3,4,5,1,,3,1,2,2,2,1,2,11,3,1,3,3,3,6,2,3,2,10,2,1,2,4,3,1,4,3
20200220,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,0,NO2,25,24,27,23,29,25,26,50,,33,32,31,28,31,24,24,30,23,42,36,26,23,26,20,91,21,33,21,28,22,29,28,36,36,73
20200220,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,0,O3,70,49,60,75,68,70,71,3,,62,45,34,55,53,73,67,83,49,16,60,39,76,50,42,17,77,74,51,33,34,62,56,53,65,9
20200220,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,0,CO,1,1,1,1,1,0.9,1,2,,1,1.1,1.3,1.2,1.1,1,1.3,1.4,1.6,2.7,1.8,1.7,1.4,2,1.7,1.8,1.1,2,0.9,1.1,1.4,1.2,0.9,1.1,1,0.9
20200220,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,1,SO2,8,2,4,3,4,5,4,1,,3,1,3,2,2,1,3,14,3,1,3,3,3,6,1,2,2,9,2,1,1,5,3,1,3,4
20200220,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,1,NO2,26,22,19,24,29,31,30,57,,31,34,28,29,26,26,24,32,20,36,26,21,23,19,23,80,21,33,20,25,21,29,26,33,33,75
20200220,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,1,O3,65,59,70,62,66,58,58,2,,64,38,44,51,64,62,63,74,58,22,59,44,77,61,32,17,74,61,50,36,33,59,47,54,59,7
20200220,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,1,CO,1.1,1.1,1,1,1.2,1.1,1,2,,1,1,1.1,1.2,1.1,1,1.6,1.6,1.4,2.5,2,1.6,1.4,1.6,1.7,1.8,1.2,2.1,0.8,1.1,1.3,1.2,0.9,1.1,1,1.1
20200220,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,2,SO2,8,2,3,2,4,5,5,1,,4,1,2,2,2,2,4,13,2,2,2,3,2,3,1,1,1,4,2,1,3,5,3,1,1,3
20200220,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,2,NO2,30,25,23,28,29,30,34,56,,30,30,25,28,33,21,29,34,14,41,26,19,25,18,23,70,20,46,34,19,22,32,27,30,34,65
20200220,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,2,O3,55,53,62,51,58,54,53,2,,55,27,53,57,51,64,52,66,69,18,43,49,61,68,32,22,71,32,38,43,27,53,40,52,48,12
20200220,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,2,CO,1.2,1.1,1.2,1.1,1.3,1.1,1.2,1.9,,1,0.9,1,1.2,1.1,1,1.9,1.5,1.1,2.4,2.1,1.5,1.5,1.4,1.6,1.4,1.3,2.1,1,1,1.1,1.3,1,1.3,1,1.2
20200220,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,3,SO2,7,1,3,2,3,4,4,1,,3,1,3,2,2,2,4,9,3,2,2,3,2,3,1,2,3,2,2,1,3,3,2,1,3,2
20200220,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,3,NO2,24,19,21,23,20,22,38,60,,32,27,24,26,25,23,30,49,15,40,23,16,39,18,15,77,21,67,32,17,20,25,26,30,31,50
20200220,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,3,O3,49,47,59,55,66,58,38,1,,50,27,51,56,56,59,48,44,67,29,46,52,27,59,36,14,53,8,37,44,28,56,36,47,49,13
20200220,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,3,CO,1.3,1.2,1.2,1.1,1.2,1.2,1.3,1.7,,1.1,1.1,1.3,1.2,1.1,1.4,1.9,1.6,1.3,1.7,2.2,1.4,1.8,1.6,1.4,1.4,1.5,2.1,1,1,1.1,1.4,1.1,1.3,1.1,1.2
20200220,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,4,SO2,7,3,4,2,3,4,3,1,,3,2,3,2,2,4,5,8,2,2,2,3,2,3,3,1,3,1,1,1,3,4,2,2,3,5
20200220,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,4,NO2,31,15,21,22,40,24,43,46,,27,31,25,23,22,32,31,48,37,42,22,16,48,17,13,54,19,53,51,14,21,30,29,35,39,63
20200220,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,4,O3,40,29,54,50,27,49,28,12,,52,24,44,57,59,45,42,37,29,31,46,49,9,52,35,29,42,19,14,49,25,44,24,38,40,2
20200220,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,4,CO,1.3,1.2,1.2,1.3,1.3,1.2,1.4,1.6,,1.2,1.1,1.4,1.2,1.2,1.6,2,1.5,1.4,1.6,2,1.5,2,1.8,1.2,1.1,1.7,2,1,0.9,1.1,1.4,1.1,1.5,1.2,1.3
20200220,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200220,5,SO2,6,3,3,4,3,4,2,2,,4,2,3,2,2,5,5,4,2,2,2,2,2,2,3,2,3,1,2,1,3,4,2,1,4,8
