date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200915,4,CO,0.9,0.7,0.6,0.5,0.7,0.9,0.6,0.6,,0.8,0.6,0.6,0.4,0.8,1,1,0.7,0.6,0.6,0.9,0.5,0.5,0.5,0.6,0.4,0.5,0.8,1.2,0.6,0.7,,0.6,0.5,0.7,0.8
20200915,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,5,SO2,1,3,1,3,3,3,1,3,,3,1,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,1,3,3,,3,3,3,3
20200915,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,5,NO2,26,31,15,18,29,34,23,,,19,11,14,18,22,30,24,22,14,16,10,16,26,12,15,41,3,21,21,8,9,,27,28,26,61
20200915,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,5,O3,37,23,68,38,28,25,56,38,,60,38,59,63,46,23,35,33,34,64,33,37,21,64,26,42,50,33,33,44,57,,39,42,32,9
20200915,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,5,CO,1,0.8,0.6,0.6,0.8,1,0.6,0.6,,0.8,0.6,0.6,0.4,0.8,1,0.8,0.7,0.6,0.5,0.9,0.6,0.5,0.5,0.7,0.4,0.5,0.7,1,0.5,0.6,,0.6,0.5,0.7,0.9
20200915,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,6,SO2,1,1,3,3,3,3,3,3,,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,,3,3,3,2
20200915,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,6,NO2,18,24,18,20,26,21,20,18,,18,12,20,18,19,23,25,22,21,16,12,18,10,12,15,35,5,27,18,5,7,,26,23,28,55
20200915,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,6,O3,53,41,57,45,36,49,61,,,65,44,48,62,52,35,31,36,23,58,31,37,51,55,45,44,57,20,30,51,59,,46,45,31,19
20200915,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,6,CO,0.9,0.8,0.7,0.6,0.9,0.8,0.7,0.6,,0.8,0.6,0.7,0.4,0.8,0.8,0.8,0.7,0.8,0.6,0.9,0.7,0.6,0.5,0.8,0.4,0.5,0.8,1,0.5,0.6,,0.7,0.6,0.8,0.8
20200915,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,7,SO2,1,1,3,3,3,3,3,3,,3,1,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,1,3,3,,3,3,1,1
20200915,7,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,7,NO2,15,19,18,22,18,13,24,23,,23,13,26,18,18,11,30,29,17,18,10,26,14,11,12,22,3,26,17,4,6,,28,22,43,56
20200915,7,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,7,O3,67,54,59,44,55,76,62,41,,61,53,43,67,65,46,26,28,30,54,43,23,34,60,50,62,60,23,29,48,63,,46,45,27,38
20200915,7,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,7,CO,0.8,0.7,0.7,0.6,0.7,0.7,0.7,,,0.8,0.6,0.7,0.4,0.8,0.8,0.8,0.8,0.8,0.6,1,0.7,0.7,0.5,0.8,0.4,0.6,1,1,0.5,0.6,,0.7,0.6,0.9,0.7
20200915,7,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,8,SO2,1,1,3,3,3,3,3,,,3,1,3,3,3,3,3,2,3,3,3,1,3,3,1,3,3,3,1,3,3,,3,3,3,2
20200915,8,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,8,NO2,15,18,18,22,21,16,26,20,,24,13,23,16,18,11,32,32,15,16,12,25,13,10,11,19,3,28,17,4,6,,36,25,44,58
20200915,8,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,8,O3,77,65,66,63,61,69,57,39,,67,52,54,72,68,37,22,30,40,64,44,33,37,88,40,66,56,27,31,50,64,,50,60,41,29
20200915,8,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,8,CO,0.8,0.7,0.7,0.6,0.7,0.8,0.7,0.7,,0.8,0.6,0.7,0.4,0.8,1,0.9,0.9,0.7,0.6,1.1,0.8,0.7,0.5,0.8,0.5,0.7,0.9,1,0.5,0.6,,0.8,0.6,0.8,0.9
20200915,8,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,9,SO2,1,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,1,3,3,3,3,1,3,1,3,1,3,1,3,3,,3,3,1,1
20200915,9,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,9,NO2,30,20,17,24,22,20,25,21,,31,14,22,16,24,12,29,34,18,14,14,25,15,9,12,16,3,27,15,3,6,,30,27,48,55
20200915,9,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,9,O3,47,44,65,48,59,54,74,49,,60,54,62,85,50,42,35,32,38,67,44,33,43,82,48,69,61,36,41,62,67,,47,54,33,25
20200915,9,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,9,CO,0.9,0.7,0.7,0.6,0.7,0.8,0.7,0.8,,0.8,0.6,0.7,0.4,0.8,0.8,0.9,0.8,0.7,0.6,1.3,0.8,0.8,0.6,0.7,0.5,0.7,0.9,1,0.5,0.6,,0.8,0.6,0.9,0.9
20200915,9,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,10,SO2,1,3,1,3,3,3,3,3,,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,3,1,3,3,,4,3,3,1
20200915,10,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,10,NO2,34,21,21,22,20,20,30,24,,28,14,16,18,25,13,28,26,18,15,11,19,13,9,14,16,4,21,11,7,11,,33,29,45,47
20200915,10,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,10,O3,42,44,59,53,61,51,58,52,,57,63,74,76,48,48,41,46,41,70,60,51,61,74,49,65,67,44,52,65,76,,47,41,35,31
20200915,10,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,10,CO,0.9,0.8,0.7,0.7,0.7,0.8,0.7,0.8,,0.8,0.6,0.7,0.4,0.8,0.8,0.9,0.8,0.7,0.6,1.3,0.7,0.7,0.6,0.7,0.5,0.7,1,1,0.5,0.6,,0.8,0.7,0.9,0.9
20200915,10,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,11,SO2,1,3,3,3,3,3,3,3,,3,1,3,3,3,3,3,1,3,3,1,3,3,3,1,3,1,3,1,3,3,,4,3,3,1
20200915,11,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
