date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20201219,0,SO2,4,2,9,2,12,2,3,11,,3,2,3,2,2,5,4,1,3,8,3,1,3,2,6,12,2,3,1,5,3,6,5,7,4,9
20201219,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,0,NO2,38,30,45,59,52,59,57,58,,65,53,54,66,61,63,72,18,11,41,27,25,28,18,4,57,13,45,60,60,34,50,33,47,68,64
20201219,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,0,O3,17,19,14,2,9,5,2,1,,1,5,2,3,2,2,2,44,49,10,17,29,27,44,56,2,39,1,1,1,2,13,2,20,2,2
20201219,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,0,CO,0.4,0.4,0.5,0.5,0.6,0.3,0.7,1.1,,0.4,0.4,0.4,0.6,0.7,0.2,0.7,0.3,0.3,1.2,0.6,0.5,0.4,0.4,0.3,0.9,0.2,0.6,0.8,0.6,0.6,0.4,0.4,0.6,0.6,0.4
20201219,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,1,SO2,3,1,4,3,3,3,3,11,,4,2,3,2,4,5,7,1,4,5,1,1,3,3,8,15,2,2,1,8,3,3,5,3,4,10
20201219,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,1,NO2,55,45,53,64,47,63,58,54,,65,54,55,67,61,65,78,17,13,42,18,16,50,35,9,58,14,34,54,64,35,60,43,56,66,61
20201219,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,1,O3,3,8,6,2,12,2,1,1,,1,4,2,1,3,2,2,45,44,6,26,33,7,23,48,2,35,1,1,2,2,4,,11,2,2
20201219,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,1,CO,0.4,0.5,0.4,0.5,0.4,0.4,0.7,1.1,,0.4,0.4,0.5,0.7,0.7,0.3,0.8,0.3,0.4,1.1,0.5,0.4,0.6,0.5,0.4,0.8,0.3,0.6,1.1,0.7,0.6,0.5,0.5,0.5,0.5,0.3
20201219,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,2,SO2,3,1,1,3,3,3,2,3,,5,2,3,3,4,4,7,1,2,4,3,3,1,2,7,23,1,1,3,17,3,3,5,2,10,12
20201219,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,2,NO2,52,49,57,65,56,61,56,51,,69,43,50,61,61,65,74,56,34,28,23,15,55,47,16,59,12,39,60,72,33,62,37,61,101,59
20201219,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,2,O3,3,3,3,2,4,1,1,2,,1,12,2,1,2,2,2,5,17,19,16,32,2,5,38,2,36,1,1,4,2,2,,3,2,2
20201219,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,2,CO,0.4,0.5,0.4,0.5,0.4,0.3,0.7,0.8,,0.5,0.4,0.6,0.6,0.7,0.3,0.7,0.4,0.4,0.9,0.5,0.3,0.5,0.6,0.5,0.9,0.3,0.6,0.8,0.8,0.9,0.4,0.4,0.4,0.7,0.3
20201219,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,3,SO2,3,1,1,2,2,3,2,2,,5,2,3,3,4,5,7,1,3,3,1,3,2,2,5,32,1,2,5,10,3,2,6,3,10,13
20201219,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,3,NO2,54,51,58,65,39,61,56,45,,73,56,48,59,62,65,72,56,42,19,32,6,52,46,12,65,9,43,69,66,32,62,40,65,103,63
20201219,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,3,O3,2,2,2,2,18,1,1,2,,1,2,2,1,2,2,2,4,11,28,11,42,1,4,35,2,39,1,2,1,4,2,3,3,2,2
20201219,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,3,CO,0.4,0.5,0.4,0.5,0.2,0.3,0.5,0.7,,0.6,0.4,0.7,0.6,0.7,0.5,0.6,0.3,0.4,0.5,0.6,0.2,0.5,0.5,0.4,1.1,0.2,0.7,0.7,0.6,1.3,0.4,0.5,0.5,0.8,0.3
20201219,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,4,SO2,3,1,1,3,3,3,2,2,,4,1,3,2,4,5,18,1,8,2,1,3,1,4,7,31,1,3,5,22,3,2,6,3,10,15
20201219,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,4,NO2,56,54,58,66,55,65,56,47,,65,47,45,55,62,65,91,45,60,21,27,11,49,47,15,66,10,34,54,70,29,62,46,65,101,61
20201219,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,4,O3,1,1,2,2,1,2,2,2,,2,6,1,,2,1,2,9,2,26,14,32,2,2,28,2,36,1,1,4,6,3,3,,3,2
20201219,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,4,CO,0.5,0.5,0.4,0.6,0.3,0.3,0.5,0.7,,0.6,0.4,0.7,0.6,0.7,0.5,0.7,0.3,0.6,0.5,0.6,0.3,0.3,0.7,0.5,1,0.3,0.7,0.7,0.8,1.2,0.4,0.5,0.5,1,0.4
20201219,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,5,SO2,3,1,1,1,5,3,5,3,,4,2,3,2,2,6,21,1,7,3,1,3,1,3,8,40,3,2,6,20,3,1,5,4,10,13
20201219,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,5,NO2,52,51,58,61,60,64,58,47,,59,46,44,53,59,62,89,58,55,18,29,18,45,35,15,63,13,40,63,67,31,59,45,64,91,52
20201219,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,5,O3,4,1,2,2,3,2,1,2,,1,5,1,1,1,1,2,2,2,27,10,29,1,3,29,2,33,1,1,3,3,4,3,3,3,2
20201219,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,5,CO,0.4,0.5,0.4,0.5,0.4,0.4,0.7,0.7,,0.6,0.4,0.6,0.6,0.7,0.5,0.8,0.3,0.6,0.5,0.5,0.3,0.3,0.9,0.5,1.2,0.3,0.7,0.8,0.8,1.1,0.3,0.5,0.5,0.9,0.3
20201219,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,6,SO2,3,1,1,1,2,3,5,2,,4,1,2,3,1,5,16,3,5,2,1,3,1,2,10,28,1,4,5,14,3,1,5,5,5,11
20201219,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,6,NO2,56,53,59,53,44,61,56,42,,61,46,43,56,56,74,82,46,49,21,23,18,47,26,17,61,14,45,63,67,31,60,44,61,71,58
20201219,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,6,O3,1,1,2,4,16,2,1,2,,1,3,1,1,1,2,2,12,2,24,22,30,2,14,27,2,29,2,2,2,2,4,2,3,2,2
20201219,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,6,CO,0.4,0.5,0.4,0.3,0.3,0.4,0.7,0.7,,0.7,0.4,0.6,0.6,0.7,0.6,0.8,0.3,0.7,0.4,0.5,0.3,0.4,0.7,0.6,1.2,0.4,0.8,0.9,0.8,1,0.3,0.5,0.6,0.5,0.3
20201219,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,7,SO2,3,1,2,2,2,2,7,2,,4,3,5,3,2,4,12,3,4,2,2,1,1,2,8,27,3,3,4,20,3,2,6,2,4,7
20201219,7,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201219,7,NO2,54,55,52,63,51,58,58,44,,64,44,47,58,66,73,80,28,44,18,20,26,46,25,20,63,15,38,60,75,30,61,46,53,68,59
20201219,7,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
