province,date,CO,NO2,NOx,O3,PM10,PM25
Bergamo,2020-01-01,,,,,,
Bergamo,2020-01-02,,,,,,
Bergamo,2020-01-03,,,,,,
Bergamo,2020-01-04,,,,,,
Bergamo,2020-01-05,,,,,,
Bergamo,2020-01-06,,,,,,
Bergamo,2020-01-07,,,,,,
Bergamo,2020-01-08,,,,,,
Bergamo,2020-01-09,,,,,,
Bergamo,2020-01-10,,,,,,
Bergamo,2020-01-11,,,,,,
Bergamo,2020-01-12,,,,,,
Bergamo,2020-01-13,,,,,,
Bergamo,2020-01-14,,,,,,
Bergamo,2020-01-15,,,,,,
Bergamo,2020-01-16,712.5,36.61916666666667,89.16666666666666,25.81,45.18333333333334,34.33333333333333
Bergamo,2020-01-17,713.3333333333333,36.525,85.54666666666665,25.619166666666665,46.45,35.61666666666667
Bergamo,2020-01-18,715.0,37.2175,88.65,24.983749999999997,46.833333333333336,37.25
Bergamo,2020-01-19,722.5,37.67666666666667,86.95083333333332,24.014166666666664,47.28333333333333,37.56666666666667
Bergamo,2020-01-20,728.3333333333333,37.965,86.21416666666667,23.60875,46.53333333333333,37.83333333333333
Bergamo,2020-01-21,731.6666666666667,38.052499999999995,86.18166666666667,23.05916666666667,47.166666666666664,37.95
Bergamo,2020-01-22,729.1666666666666,37.836666666666666,86.07000000000001,22.74458333333333,46.21666666666667,37.75
Bergamo,2020-01-23,726.6666666666667,37.781666666666666,85.94333333333333,22.76875,45.86666666666667,37.68333333333334
Bergamo,2020-01-24,725.8333333333333,37.74916666666667,85.71166666666666,23.56625,46.13333333333334,37.71666666666667
Bergamo,2020-01-25,718.3333333333333,37.26166666666666,85.39750000000001,24.950416666666666,46.016666666666666,37.55
Bergamo,2020-01-26,706.6666666666666,36.82833333333333,85.00416666666666,26.162083333333335,45.541666666666664,37.31666666666667
Bergamo,2020-01-27,698.3333333333334,36.58083333333333,84.7575,26.799583333333334,45.28333333333333,37.0
Bergamo,2020-01-28,706.6666666666666,36.42333333333333,83.78166666666667,26.791666666666664,45.050000000000004,36.416666666666664
Bergamo,2020-01-29,710.8333333333333,35.945,81.65249999999999,27.344166666666666,44.91666666666667,35.56666666666666
Bergamo,2020-01-30,701.6666666666667,35.097500000000004,79.8925,28.08625,42.53333333333333,32.85
Bergamo,2020-01-31,691.6666666666666,34.379999999999995,77.23,28.397916666666667,40.8,31.666666666666664
Bergamo,2020-02-01,675.8333333333334,33.674166666666665,73.09,28.50625,40.61666666666666,32.766666666666666
Bergamo,2020-02-02,666.6666666666667,33.30833333333333,69.42166666666667,28.497500000000002,41.550000000000004,33.55
Bergamo,2020-02-03,674.1666666666666,33.75083333333333,69.0675,28.415416666666665,42.55,34.16666666666667
Bergamo,2020-02-04,685.8333333333334,34.2675,68.63833333333332,28.621666666666666,43.300000000000004,34.483333333333334
Bergamo,2020-02-05,690.0,34.14333333333333,67.80083333333333,29.12375,42.9,34.63333333333333
Bergamo,2020-02-06,593.75,33.17666666666667,62.840416666666655,29.493333333333332,42.483333333333334,32.71666666666667
Bergamo,2020-02-07,662.5,33.376666666666665,59.49583333333334,29.699166666666663,41.383333333333326,32.475
Bergamo,2020-02-08,652.4999999999999,32.724999999999994,55.61583333333333,30.388333333333332,42.775,34.63333333333333
Bergamo,2020-02-09,640.0,30.199166666666663,55.10083333333333,31.577499999999997,42.40833333333333,31.508333333333333
Bergamo,2020-02-10,630.0,31.635416666666664,56.52416666666666,32.699999999999996,42.63333333333333,37.18333333333334
Bergamo,2020-02-11,621.6666666666667,30.206666666666667,53.72083333333333,36.27083333333333,40.06666666666666,30.141666666666666
Bergamo,2020-02-12,610.8333333333333,29.260833333333334,51.7275,34.952083333333334,39.041666666666664,31.1
Bergamo,2020-02-13,596.6666666666666,28.771250000000002,46.211666666666666,36.555,37.96666666666667,30.01666666666667
Bergamo,2020-02-14,578.3333333333334,28.08125,44.69083333333333,37.62125,37.55,29.883333333333333
Bergamo,2020-02-15,567.5,27.714583333333334,45.23583333333333,37.84041666666667,37.275,30.066666666666663
Bergamo,2020-02-16,565.0,27.212916666666665,45.57458333333334,37.73625,36.7,29.883333333333333
Bergamo,2020-02-17,566.6666666666666,26.85458333333333,44.022499999999994,37.89,36.38333333333333,29.2
Bergamo,2020-02-18,559.1666666666666,26.595,42.80541666666666,38.55416666666666,35.66666666666667,28.666666666666668
Bergamo,2020-02-19,545.8333333333333,26.216666666666665,42.20333333333333,39.42583333333333,35.45,26.15
