date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200829,0,PM2.5,33,30,23,30,29,32,29,23,,31,28,34,27,33,34,44,34,21,17,16,22,18,17,20,20,23,36,53,42,26,,26,36,33,25
20200829,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200829,0,PM10,60,60,51,57,60,70,60,49,,82,57,93,80,75,71,119,77,41,26,34,36,58,39,32,34,41,90,79,57,32,,76,53,68,78
20200829,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200829,0,AQI,55,55,51,54,55,60,55,49,,66,54,72,65,63,61,85,64,41,26,34,36,54,39,32,46,41,70,73,59,37,,63,52,59,64
20200829,1,PM2.5,38,33,30,38,32,34,31,23,,33,24,33,23,43,39,44,37,22,18,15,19,18,17,16,23,23,37,53,42,23,,31,37,43,30
20200829,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200829,1,PM10,70,51,58,65,68,71,58,40,,84,41,81,94,97,70,108,72,40,22,34,35,45,35,34,33,27,93,73,56,32,,74,59,83,91
20200829,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200829,1,AQI,60,51,54,58,59,61,54,40,,67,41,66,72,74,60,79,61,40,26,34,35,45,35,34,44,33,72,73,59,33,,62,55,67,71
20200829,2,PM2.5,48,38,33,49,31,39,31,30,,36,27,26,19,48,38,50,35,19,18,15,16,17,19,25,25,22,36,37,46,24,,36,31,50,41
20200829,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200829,2,PM10,75,58,67,68,,81,60,43,,114,50,47,59,97,64,119,60,39,20,30,32,44,38,33,35,30,82,63,53,41,,75,73,87,133
20200829,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200829,2,AQI,66,54,59,68,44,66,55,43,,82,50,47,55,74,57,85,55,39,26,30,32,44,38,36,43,31,66,57,64,41,,63,62,69,92
20200829,3,PM2.5,58,44,35,61,37,55,32,21,,39,21,26,27,46,37,56,36,18,17,18,19,17,20,23,30,24,42,45,43,20,,52,26,60,53
